"","text","created","id","screenName"
"1","@CollegeGameDay @BadgerFootball",2015-09-01 20:05:22,"638804864722669569","Dan__Cao"
"2","What makes Joel Stave so good in the 2-minute drill? ""He never gets rattled."" #Badgers http://t.co/AMH2OtH0gk http://t.co/8bZI2I8esl",2015-09-24 01:13:04,"646854832930746368","BadgerFootball"
"3","WATCH: Coach Chryst &amp; @MattLepay on #Badgers Sports Report. Review win over Troy, preview game vs. Hawaii: http://t.co/Blt7qYUbqP",2015-09-24 00:35:05,"646845272081829888","BadgerFootball"
"4","Great look at recent #CampRandallAfterDark games by @MattLepay. Worth the read, #Badgers fans http://t.co/Nrq3Waom61 http://t.co/itKt8PGWeT",2015-09-24 00:01:06,"646836720067997696","BadgerFootball"
"5","14 tackles last week for @Chris_Guwap, the most by any true freshman in the country in a game this year. #Badgers http://t.co/FpFcyI8kwZ",2015-09-23 23:00:08,"646821379837267968","BadgerFootball"
"6","More great #CampRandallAfterDark memories. #Badgers http://t.co/KZReiG3kLw",2015-09-23 21:00:29,"646791267066576896","BadgerFootball"
"7","Latest from @LucasAtLarge: ""Caring comes as no surprise w/Mason."" Former #Badgers WRs coach: http://t.co/SIIAClUYuh http://t.co/nyTyxlgJKM",2015-09-23 20:24:08,"646782118475894786","BadgerFootball"
"8","Like to get your #Badgers news on your phone? Download the FREE #Badgers Game Day App: http://t.co/x2hor2Z0mK http://t.co/uuj3ak2g6G",2015-09-23 19:43:04,"646771784272842753","BadgerFootball"
"9","#CampRandallAfterDark #Badgers https://t.co/KjfZ0ymI6x",2015-09-23 19:15:12,"646764772180934656","BadgerFootball"
"10","More love for the #Badgers from http://t.co/BxIoe50nS3. You know the ""Best Walk-ons"" list has to include @JJWatt: http://t.co/BswNDMdXAh",2015-09-23 18:38:29,"646755532825604096","BadgerFootball"
"11","The folks at http://t.co/BxIoe5hYJB know what they're talking about. No. 1 college football town in America! #Badgers http://t.co/8qtpClsASM",2015-09-23 17:25:08,"646737073358008321","BadgerFootball"
"12","The secret to the #Badgers' success in the 2-minute drill? #VarsityMag explains: http://t.co/AMH2OtH0gk http://t.co/qc1IzIUYKV",2015-09-23 16:11:06,"646718440481271808","BadgerFootball"
"13","The future is bright for @Chris_Guwap! #Badgers http://t.co/FpFcyI8kwZ",2015-09-23 15:06:02,"646702066576920576","BadgerFootball"
"14","""The Voice of the #Badgers"" @MattLepay is all in on #CampRandallAfterDark. http://t.co/Nrq3Waom61 http://t.co/dK3aTFZFHb",2015-09-23 13:56:06,"646684466857938944","BadgerFootball"
"15","Here's the rundown, including a @JabariParker appearance http://t.co/IOq084cB6v https://t.co/liXrvlIpG4",2015-09-23 02:01:41,"646504676612042752","BadgerFootball"
"16","""It's just a big party here."" Welcome to #CampRandallAfterDark, @KirkHerbstreit. #Badgers http://t.co/2ekXgdQnvY",2015-09-23 00:30:14,"646481662767796228","BadgerFootball"
"17","#Badgers What's special about football Saturdays at Camp Randall? Watch &amp; learn: http://t.co/rxYTz0MAWl",2015-09-22 23:26:02,"646465508464721920","BadgerFootball"
"18","We should find out on Monday https://t.co/u07Ie2O1zZ",2015-09-22 23:13:52,"646462446828449792","BadgerFootball"
"19","""The Voice of the #Badgers"" @MattLepay says: ""Night is always right in Camp Randall."" http://t.co/Nrq3Waom61 http://t.co/gWRD3aHMoP",2015-09-22 22:20:04,"646448907526914048","BadgerFootball"
"20","Inside the opponent‚Äôs 40-yd line, Joel Stave is 19-27 for 227 yards, 6 TDs &amp; 0 INTs (214.3 pass effic.). #Badgers http://t.co/ViMybKGXDz",2015-09-22 21:49:05,"646441110609379328","BadgerFootball"
"21","Anyone remember this? #Badgers #CampRandallAfterDark http://t.co/pdi4LIv81R",2015-09-22 20:24:05,"646419720288100352","BadgerFootball"
"22","Since Dave Aranda took over as #Badgers DC in 2013, UW has allowed 11.4 pts per game at home, best mark of any FBS team in that time frame.",2015-09-22 18:20:10,"646388536162263041","BadgerFootball"
"23","Want a glimpse inside Coach Chryst's personality. This answer sums it up pretty well. #Badgers http://t.co/8IxGlFA69R",2015-09-22 00:29:02,"646118975064047616","BadgerFootball"
"24","#Badgers D hasn‚Äôt allowed
a TD since 8:02 of 4th Q vs. Alabama (streak of 128:02 since UW has allowed a TD). http://t.co/jhVKyLMyQX",2015-09-21 22:59:09,"646096352871493632","BadgerFootball"
"25","So why doesn't Coach Chryst lead the team out of the tunnel on game day? http://t.co/8IxGlFivij",2015-09-21 20:44:28,"646062460844310528","BadgerFootball"
"26","Monday got us feeling like ... Right @VinceBiegel? #Badgers http://t.co/N2K1xIZlvI",2015-09-21 19:32:07,"646044251340451841","BadgerFootball"
"27","That'll do it for Coach Chryst's weekly press conference. Full video will be available on http://t.co/JRe4EZbEzj this afternoon",2015-09-21 17:53:45,"646019497690824704","BadgerFootball"
"28","PC on OL Micah Kapoi: ""Everyone's got room for growth but he kind of turned it loose at times, and that will only improve""",2015-09-21 17:52:10,"646019097868791808","BadgerFootball"
"29","PC on night games: ""I've been lucky, the night games I've been in here"" Last two were #Badgers wins vs. Ohio State in '10, Nebraska in '11",2015-09-21 17:50:08,"646018589644955648","BadgerFootball"
"30","PC on Clement: ""It's whenever he's ready. It's not about the Big Ten season. He's making progress. We'll see how the week goes"" #Badgers",2015-09-21 17:48:02,"646018060277665792","BadgerFootball"
"31","PC on players presenting him game ball for 1st win with #Badgers: ""Mike (Caputo) presented it on behalf of the team and it means a ton""",2015-09-21 17:46:22,"646017638246825984","BadgerFootball"
"32","PC on not being first out of tunnel on game day: ""I just think that day's about them (the players)."" #Badgers",2015-09-21 17:45:25,"646017402224943105","BadgerFootball"
"33","PC on 2-min. offense: ""What made it successful is guys making plays. That's one thing that fits Joel's personality. He doesn't get rattled""",2015-09-21 17:43:24,"646016894269587456","BadgerFootball"
"34","PC on reputation with helping quarterbacks: ""I think I've been lucky to be with some very good quarterbacks"" #Badgers",2015-09-21 17:42:26,"646016648709849088","BadgerFootball"
"35","PC on Austin Traylor: ""This team means a ton to him. He wanted to do whatever he could to be the best."" #Badgers",2015-09-21 17:41:12,"646016339753213952","BadgerFootball"
"36","PC: Pleased with freshmen LBs Edwards and Orr, ""but they can still get a lot better, and that's what's encouraging"" #Badgers",2015-09-21 17:39:59,"646016035141890048","BadgerFootball"
"37","PC on Chris Orr: ""What I liked is he continues to work to get better. One of his strengths is his instincts"" #Badgers",2015-09-21 17:38:30,"646015661433593856","BadgerFootball"
"38","PC: There's a good process in place"" for getting clarification on calls. Spoke to #B1G officiating director Bill Carollo #Badgers",2015-09-21 17:37:26,"646015390078902272","BadgerFootball"
"39","PC on avoiding targeting fouls: ""We've got to make sure we're communicating and then reinforcing with what we're practicing"" #Badgers",2015-09-21 17:36:35,"646015176764989441","BadgerFootball"
"40","PC on targeting calls: ""There's no question in my mind Leon &amp; Derrick were trying to play the game the right way"" #Badgers",2015-09-21 17:35:53,"646015003921903616","BadgerFootball"
"41","PC on targeting calls: ""We want to do everything we can to make sure our guys are playing the game the right way"" #Badgers",2015-09-21 17:33:55,"646014507941253120","BadgerFootball"
"42","Coach Chryst's weekly news conference gets going at 12:30. Watch live: http://t.co/ykKpoTrm9m #Badgers",2015-09-21 17:29:23,"646013366369157120","BadgerFootball"
"43","WATCH: Coach Chryst news conference live at 12:30pm CT. #Badgers http://t.co/ykKpoTIX0U http://t.co/seuDyN8JqF",2015-09-21 17:15:11,"646009791135936512","BadgerFootball"
"44","Take a look back at #Badgers win on Saturday with @LucasAtLarge &amp; his ""Badger Rewind."" http://t.co/06o9GJrh2O http://t.co/mtoZwB4Mao",2015-09-21 17:00:25,"646006076953903104","BadgerFootball"
"45","Now that's a lead block! We Ì†ΩÌ±Ä you @AT_46. #Badgers http://t.co/jaUUYrLCuw",2015-09-21 16:23:45,"645996847283216384","BadgerFootball"
"46","#B1G just announced that Iowa at #Badgers on Oct. 3 will kick off at 11am CT. Television (ABC/ESPN/ESPN2) TBA. http://t.co/HOPAir2Dkq",2015-09-21 15:33:40,"645984244922216448","BadgerFootball"
"47","We should find out this morning https://t.co/haeJcM5qWW",2015-09-21 13:39:11,"645955432758939648","BadgerFootball"
"48","Have you watched this yet? If not, you need to to. If you have, watch it again. #Badgers http://t.co/nuxteR9PJy",2015-09-21 01:07:02,"645766148651257857","BadgerFootball"
"49","Joel Stave's career completion % entering this season was 58.7. Thru 3 games this year, he's at 67.4%. #Badgers http://t.co/0loCVYpvPo",2015-09-21 00:05:03,"645750552849059844","BadgerFootball"
"50","New faces in new places yesterday for the #Badgers. How did Orr, Kapoi &amp; Maxwell fare? http://t.co/06o9GJrh2O http://t.co/5Yr9UX8ufk",2015-09-20 23:00:14,"645734238877171716","BadgerFootball"
"51","PHOTOS: Did you see our gallery from yesterday? #Badgers http://t.co/EXPS5SVT69 http://t.co/GCAOK6Fcf6",2015-09-20 21:45:06,"645715331277713408","BadgerFootball"
"52",".@JoeTheShow58 still putting on a show for #Badgers defense: Ranks 3rd in nation in TFLs (7.5) &amp; 5th in sacks (4.0) http://t.co/NEU8OscdQL",2015-09-20 21:18:43,"645708690826244096","BadgerFootball"
