"","time_index","volume","top5_1","top5_2","top5_3","top5_4","top5_5"
"1","03/17/12",603,"tcot","Obamacare","p2","gop","tlot"
"2","03/18/12",682,"tcot","Obamacare","teaparty","ObamaCare","p2"
"3","03/19/12",1722,"tcot","Obamacare","ObamaCare","teaparty","p2"
"4","03/20/12",1588,"tcot","Obamacare","ObamaCare","teaparty","hcr"
"5","03/21/12",1714,"Obamacare","tcot","ObamaCare","hcr","teaparty"
"6","03/22/12",2405,"ILikeObamacare","tcot","Obamacare","ILikeObamaCare","ObamaCare"
"7","03/23/12",8314,"ILikeObamacare","tcot","ILikeObamaCare","Obamacare","ilikeobamacare"
"8","03/24/12",3493,"tcot","Obamacare","ILikeObamacare","ObamaCare","p2"
"9","03/25/12",2838,"tcot","Obamacare","ObamaCare","ILikeObamacare","p2"
"10","03/26/12",6479,"tcot","Obamacare","ObamaCare","p2","SCOTUS"
"11","03/27/12",6452,"tcot","Obamacare","ObamaCare","SCOTUS","p2"
"12","03/28/12",5392,"tcot","Obamacare","SCOTUS","ObamaCare","p2"
"13","03/29/12",3056,"tcot","Obamacare","SCOTUS","ObamaCare","healthcare"
"14","03/30/12",1973,"Obamacare","tcot","SCOTUS","ObamaCare","healthcare"
"15","03/31/12",1196,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"16","04/01/12",987,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"17","04/02/12",1958,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"18","04/03/12",1,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"19","06/19/12",1316,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"20","06/20/12",1092,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"21","06/21/12",1387,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"22","06/22/12",906,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"23","06/23/12",751,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"24","06/24/12",1182,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"25","06/25/12",2645,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"26","06/26/12",1475,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"27","06/27/12",4719,"Obamacare","tcot","SCOTUS","ObamaCare","FullRepeal"
"28","06/28/12",42482,"tcot","Obamacare","ObamaCare","SCOTUS","FullRepeal"
"29","06/29/12",17442,"tcot","Obamacare","ObamaCare","p2","teaparty"
"30","06/30/12",8285,"tcot","Obamacare","ObamaCare","p2","teaparty"
"31","07/01/12",8830,"tcot","Obamacare","ObamaCare","p2","teaparty"
"32","07/02/12",10500,"tcot","Obamacare","ObamaCare","p2","teaparty"
"33","07/03/12",7206,"tcot","Obamacare","ObamaCare","p2","teaparty"
"34","07/04/12",3001,"tcot","Obamacare","ObamaCare","p2","teaparty"
"35","07/05/12",4852,"tcot","Obamacare","ObamaCare","p2","teaparty"
"36","07/06/12",3866,"tcot","Obamacare","ObamaCare","p2","teaparty"
"37","07/07/12",4,"tcot","Obamacare","ObamaCare","p2","obamacare"
"38","10/22/12",2740,"tcot","Obamacare","ObamaCare","p2","obamacare"
"39","10/23/12",1396,"tcot","Obamacare","ObamaCare","p2","teaparty"
"40","10/24/12",1534,"tcot","Obamacare","ObamaCare","p2","teaparty"
"41","10/25/12",1814,"tcot","Obamacare","ObamaCare","p2","teaparty"
"42","10/26/12",1333,"tcot","Obamacare","ObamaCare","p2","teaparty"
"43","10/27/12",885,"tcot","Obamacare","ObamaCare","p2","teaparty"
"44","10/28/12",1040,"tcot","Obamacare","ObamaCare","p2","teaparty"
"45","10/29/12",1325,"tcot","Obamacare","ObamaCare","p2","obamacare"
"46","10/30/12",1609,"tcot","Obamacare","ObamaCare","p2","obamacare"
"47","10/31/12",1750,"tcot","Obamacare","ObamaCare","p2","obamacare"
"48","11/01/12",2278,"tcot","Obamacare","ObamaCare","p2","obamacare"
"49","11/02/12",1844,"tcot","Obamacare","ObamaCare","p2","obamacare"
"50","11/03/12",1680,"tcot","Obamacare","ObamaCare","p2","obamacare"
"51","11/04/12",1962,"tcot","Obamacare","ObamaCare","p2","obamacare"
"52","11/05/12",2371,"tcot","Obamacare","ObamaCare","p2","obamacare"
"53","11/06/12",2954,"tcot","Obamacare","ObamaCare","obamacare","p2"
"54","11/07/12",2804,"tcot","Obamacare","ObamaCare","health","imaging"
"55","11/08/12",3,"tco",NA,NA,NA,NA
