"","id","name","weight"
"1","10168082","Heritage Foundation",1173
"2","11866582","LOLGOP",710
"3","14730894","FreedomWorks",665
"4","20958510","Katy",642
"5","7713202","Speaker John Boehner",630
"6","11134252","RNC",576
"7","2704951","Fred Thompson",509
"8","15976697","Michelle Malkin",494
"9","44209472","AFP",387
"10","813286","Barack Obama",372
"11","5357812","John Boehner",370
"12","18891923","Eric Cantor",365
"13","18217624","MicheleBachmann",346
"14","50055701","Mitt Romney",333
"15","14728168","Melissa Clouthier",322
"16","47739450","Byron York",320
"17","14344823","Senate Republicans",314
"18","17293897","Andy Borowitz",314
"19","20713061","Newt Gingrich",310
"20","15300388","Patrick Dollard",291
"21","50769180","Laura Ingraham",287
"22","15450996","Cato Institute",273
"23","182251918","Ken Gardner",270
"24","21707592","ne1 g0tz",266
"25","65493023","Sarah Palin",263
"26","346924655","Villi Wilson",252
"27","14669951","Drudge Report",242
"28","17518344","Kevin Eder",242
"29","23022687","Ted Cruz",236
"30","149913262","David Burge",235
"31","24305174","Dagwood B.",235
"32","50434933","Steven Ertelt",231
"33","55355654","ThinkProgress",229
"34","61804416","Precious Liberty",229
"35","58379000","Rick Santorum",228
"36","1917731","The Hill",227
"37","19739126","Kevin McCarthy",227
"38","25073877","Donald J. Trump",226
"39","17078632","Gov. Bobby Jindal",208
"40","640893","Erick Erickson",208
"41","149315713","Norsu",205
"42","32497478","Kelly ",205
"43","24914494","Bradley Hennenfent",204
"44","196168350","Ann Coulter",202
"45","870456019","DennisMillerLive",190
"46","96442308","Daniel J Sobieski",190
"47","15075753","ATR",189
"48","28885875","CO2HOG""",188
"49","15745368","Marco Rubio",183
"50","177584156","Janie Johnson",183
"51","16446177","Michele Bachmann",180
"52","282695161","Wayne Dupree",172
"53","166990746","Monica Crowley",171
"54","15335534","jimgeraghty",163
"55","18388923","Loren Heal",163
"56","157398659","Nathan Hale",162
"57","78569026","TheNewDeal",162
"58","43232530","Steph",161
"59","179732982","Everybody Needs It",156
"60","16692057","C. Steven Tucker",155
"61","31127446","Mark Knoller",154
"62","86177206","Tea Party Patriots",154
"63","16190478","FloridaJayhawk",153
"64","16193222","Guy Benson",147
"65","22956220","Tammy Bruce",145
"66","49964679"," Jeannie ",145
"67","18622869","Ezra Klein",144
"68","19553409","Scott Rasmussen",144
"69","256800972","JWWright",144
"70","18089606","Kurt Schlichter",142
"71","115753716","John Schroy",141
"72","18208120","Right Scoop",140
"73","56449803","keith&chris",138
"74","22099720","Renee",137
"75","28587919","Herman Cain",136
"76","20435808","Anna Teresa Arnold",135
"77","39308549","The Daily Caller",132
"78","58708159","Resist Tyranny",132
"79","7702542","Dana Loesch",132
"80","38495835","Mark R. Levin",131
"81","179245596","David Limbaugh",130
"82","49457533","Avik S. A. Roy",129
"83","326255267","Andrew Kaczynski",128
"84","33276161","John Fugelsang",127
"85","16674443","HCAN",126
"86","32071013","Dean Clancy",126
"87","55329156","RNC Research",124
"88","255791926","Anna Coles",123
"89","330643630","CA CONSERVATIVE",122
"90","5496932","NRCC",122
"91","89496720","Paul Combs",122
"92","42126668","Peyton James",121
"93","18379614","Dave Rubin",118
"94","309558781","Kelly Rek",118
"95","129235890","Lori Hendry",117
"96","9508922","Jim DeMint",117
"97","57428429","Big Government",115
"98","122212010","Andrew A Bair",113
"99","237403203","Allen West",112
"100","9300262","POLITICO",112
"101","10292132","Joel Pollak",111
"102","15433092","Tom O'Halloran",111
"103","42769016","AssocAmerPhys&Surg",111
"104","18768324"," Stace ",108
"105","22509548","Darrell Issa",108
"106","41410702","RB",108
"107","30864583","AEI",107
"108","357013583","FW For America",107
"109","23216903","Anthony G. Martin",106
"110","28162811","Tom Holthaus",106
"111","27759798","Sami Shamieh",105
"112","21789755","Patty",104
"113","43182702","Defund NPR PBS & NEA",104
"114","12896172","Patty",103
"115","23678096","Gunservatively",103
"116","388986101","American Spring",103
"117","40930480","Todd Kincannon",103
"118","5781452","el SOOPer",102
"119","14844867","Amanda Carpenter",101
"120","91279573","Adam Baldwin",101
"121","17561562","slone",100
"122","35218566","Ari Fleischer",100
"123","18791763","Karl Rove",98
"124","22643800","Teri Peters",98
"125","45641358","PolitixGal",98
"126","15458694","HuffPost Politics",96
"127","59461030","BIG GUNS",96
"128","25594161","Lee Doren",95
"129","45190383","NewsBusters",95
"130","60919240","Donna Brazile",95
"131","16467567","reason",94
"132","20686232","Jordan Sekulow",94
"133","226409888","Snarky Basterd",94
"134","15742985","Lachlan Markay",93
"135","113758100","Dennis Miller Show",92
"136","83949216","TriciaNC",91
"137","8953122","PolitiFact",91
"138","14412533","The Fix",90
"139","24431892","Markos Moulitsas",90
"140","415836996","Traditional American",90
"141","7039122","College Republicans",90
"142","195039023","Politics are Real ",89
"143","266488425","Poor Conservative",89
"144","34701889","Max",89
"145","112047805","Brit Hume",88
"146","138459524","greybeard",88
"147","21542704","Steel Magnolia",88
"148","14511951","Huffington Post",86
"149","194615561","Prudence",86
"150","20791372","ACLJ",84
"151","16163639","John Nolte ",82
"152","22162854","Planned Parenthood",82
"153","34927577","CNSNews.com",82
"154","171632862","Jay Sekulow",81
"155","27502479","Greg Howard",81
"156","23730438","Justine Larbalestier",80
"157","315878798","Chuck Nellis",80
"158","356289222","Jonathan Stein",78
"159","39755667","Texas Bill",78
"160","60680268","Jedediah Bila",78
"161","11203972","'Jim' 'Treacher'",77
"162","20347310","Erica",76
"163","18978553","Rory Cooper",75
"164","22329038","czar",75
"165","51241574","The Associated Press",75
"166","17609675","Jimmie",74
"167","29216764","Judge Napolitano ",74
"168","5145071","Velvet Hammer",74
"169","66951419","Bob Miller",74
"170","71627462","Jonah Goldberg",74
"171","176950935","Richard D. Cushing",73
"172","17995040","benshapiro",73
"173","19359749","Erin Haust",73
"174","20826129","AZ Dreamer",73
"175","518092025","Breitbart.com Feed",73
"176","140640762","Joe the Patriotic",72
"177","40553282","Stew",72
"178","410192158","TwitchyPolitics",72
"179","10774652","TheBlaze.com",71
"180","85606078","U.S. Chamber",71
"181","111332093","The Irishman",70
"182","14377605","The Democrats",70
"183","14695985","SEIU",70
"184","21269970","Senator Roy Blunt",70
"185","232901331","Dan Bongino",70
"186","90405702","Andrea Saul",70
"187","12144232","stephenkruiser",69
"188","16051808","Scott W. Graves",68
"189","22296258","Margaret ",68
"190","133439172","Kay Bailey Hutchison",67
"191","14093404","divadoll123",67
"192","19850687","Chris Angelini, Cris",67
"193","17546958","weeklystandard",66
"194","218027755","TheTeaParty.net",66
"195","17233536","Opinionated",65
"196","257399079","WisConservative",65
"197","69773058","Stephen Hayes",65
"198","90651198","Greg Abbott",65
"199","13218102","JohnCornyn",64
"200","190905427","ForAmerica",64
"201","19734832","Sarah Kliff",64
"202","216881337","Senator Rand Paul",64
"203","26287372","The Real ExTex",64
"204","110918004","Chris Mundy",63
"205","56532503","AlinskyDefeater",63
"206","15515169","toddstarnes",62
"207","18510860","Mother Jones",62
"208","24476251","Corie Whalen",62
"209","333155696","Beat Obama",62
"210","5561412","Eric Cantor",62
"211","807095","The New York Times",62
"212","109441206","Doug Ray",61
"213","16491569","James Pethokoukis",61
"214","16726846","Brittany Cohan",61
"215","19017604","Sissy Willis",61
"216","209941571","Melody ",61
"217","28407251","Katy Abram",61
"218","180209895","Sean Hannity's Hair",60
"219","18294521","ž BLACK REPUBLICAN ž",60
