"","id","freq","text"
"1","218403920001769473",186,"If we want to get rid of Obamacare, were going to have to replace @BarackObama http://t.co/PKKYZNwk #FullRepeal"
"2","183283885021470720",157,"#ILikeObamacare because I want the government that picks winners &amp; losers like #Solyndra to pick my health care. #HandsOff"
"3","218403429691817984",148,"Thank you, SCOTUS. This Obamacare ruling fires up the troops as Americas eyes are opened! Thank God.

This... http://t.co/YuCO754o"
"4","218374385852096513",143,"RT if you stand for #FullRepeal of Obamacare."
"5","262549056130252800",131,"RT @DennisMillerFU: OK people, here's the list of the criminals who voted for ObamaCare - send it to everyone you know. http://t.co/r7ggvYI0"
"6","218357790316560385",126,"RT @marcorubio: Now that we know #Obamacare is indeed a #jobkilling #Tax we should move to #RepealObamacare as soon as possible. #letsvo ..."
"7","184742927396913153",124,"Speaking to SCOTUS, Obamacare lawyer warns of ""grave"" and ""profound"" consequences if overturned. Yes, like freedom and liberty. #tcot"
"8","265981723949543424",123,"RT @Annaluvsproduce: For those saying ""if Obama wins I'm going to Australia"" our PM is a single atheist woman &amp; we have universal he ..."
"9","260563378563600384",122,"Let's destroy Iran by giving them ObamaCare."
"10","218350925503410176",117,"RT @RubinReport: Only in America would so many overweight, diabetic people with heart disease be upset that they're gonna have healthcar ..."
"11","184276761901678593",105,"Pls RT if you agree that #ObamaCare must be repealed"
"12","218348854251225089",98,"Our position hasn't changed: Repeal #Obamacare! Retweet if you agree! #SCOTUS"
"13","218353695576965121",93,"RT @TeamBachmann: I'm disappointed #SCOTUS thinks gov't knows better than people. I won't stop fighting #Obamacare until is full repeal. ..."
"14","219933221197066242",93,".@BarackObama's healthcare promises have fallen short. RT and share this infographic if you agree http://t.co/a4lCksvR"
"15","184076655801802752",86,"RT @LDoren: Leftists, when you express outrage that a 71-year-old got a heart transplant, you demonstrate why we don't want you controll ..."
"16","265979006078316546",80,"RT @JustineLavaworm: For those saying ""if Obama wins I'm going to Australia"" our PM is a single atheist woman &amp; we have universal he ..."
"17","218379721438793728",74,"It's time now for a  #FullRepeal of #Obamacare! Click &amp; Retweet if you agree! http://t.co/rge5B851"
"18","183307488752451585",73,"Oral arguments on Obamacare start next Monday, March 26, before the Supreme Court. Voting out Obama starts on Nov. 6."
"19","184321663171706880",72,"RT if you join with me in opposing this mandate on hard working Americans and support conservative solutions to healthcare. #hcr #withnewt"
"20","218349868320702464",72,"The fight for #FullRepeal begins NOW. The way to get rid of #Obamacare is to defeat Obama in November."
"21","183256087586291712",70,"Try and figure out the Obamacare flowchart. Warning: This may cause you to lose your lunch. http://t.co/azwRClLs"
"22","219487236612296704",67,"I will not implement Obamacare in LA.  I will work to elect @MittRomney and repeal Obamacare."
