"","time_index","Freq","obamacare","tcot","scotus","healthcare","p2","teaparty","fullrepeal","gop","tlot","aca","sgp","obamacareinthreewords","hcr","ocra","obama","obamatax","ilikeobamacare","lnyhbt","news","twisters","obama2012","mosen","romney","tax","repeal","jobs","obamacaretax","mitt2012","4jobs","repealobamacare","romneyryan2012","ohio","tpp","medicare","job","phoenix","health","benghazi","politics","dems","oh","prolife","war","insen","romneycare","ccot","handsoff","resist44","mo","sandy"
"1","03/17/12",603,52,93,1,14,24,24,0,27,22,1,19,0,20,15,5,0,0,0,6,6,1,0,6,0,2,2,0,1,0,5,0,0,2,0,2,2,0,0,1,15,0,2,0,0,6,0,7,0,0,0
"2","03/18/12",682,143,184,4,43,38,69,0,31,25,9,22,0,55,21,8,0,0,0,11,10,9,0,4,0,1,22,0,0,0,4,0,0,5,2,19,17,7,0,4,9,0,14,2,0,3,0,9,0,0,0
"3","03/19/12",1722,546,497,18,92,97,126,0,73,60,82,63,0,146,35,28,0,0,3,28,23,8,3,16,1,8,13,0,1,0,11,0,0,18,9,11,7,15,0,6,6,0,16,3,5,32,0,25,0,0,0
"4","03/20/12",1588,960,655,33,149,112,164,0,130,70,124,104,0,205,52,42,0,0,1,41,24,19,1,38,0,35,45,0,1,11,19,0,1,28,8,40,36,17,0,12,17,0,31,3,2,69,0,55,0,9,0
"5","03/21/12",1714,1363,838,51,158,157,218,0,159,87,144,136,0,306,68,48,0,5,3,54,31,18,2,37,0,59,59,0,13,21,17,0,0,31,15,41,37,11,0,21,27,0,56,3,1,66,0,84,0,5,0
"6","03/22/12",2405,1194,889,51,132,239,217,0,144,72,161,111,0,262,54,67,0,2969,5,58,29,35,3,30,0,63,57,0,16,19,14,0,0,29,15,39,35,15,0,15,33,0,49,3,1,35,0,168,0,2,0
"7","03/23/12",8314,1889,1791,178,188,498,475,0,275,191,217,246,0,373,130,115,0,6639,7,91,64,69,10,45,0,86,26,0,10,12,28,0,0,66,24,23,19,22,0,24,62,0,62,14,1,81,0,281,0,1,0
"8","03/24/12",3493,3228,2658,700,392,706,710,0,489,304,220,400,0,495,177,131,0,2937,4,193,82,85,14,77,3,113,37,0,10,27,55,0,2,79,19,54,51,20,0,49,102,0,87,17,5,109,0,378,0,10,0
"9","03/25/12",2838,3998,3245,944,495,883,799,0,609,376,295,494,0,590,211,140,0,1502,5,269,102,109,15,81,3,118,39,0,13,32,51,0,2,103,14,57,54,27,0,65,134,0,102,12,6,91,0,421,0,10,0
"10","03/26/12",6479,4962,4476,1200,775,1110,1112,0,802,555,359,712,0,711,326,219,0,906,25,357,168,185,15,98,5,125,108,0,16,56,53,0,2,151,25,147,144,48,0,83,164,0,132,17,6,127,0,430,3,14,0
"11","03/27/12",6452,5974,5356,1814,1161,1273,1349,6,964,721,475,857,0,795,495,263,0,546,104,420,221,204,13,101,6,132,195,0,44,141,55,0,10,174,44,246,241,70,0,129,151,4,116,17,7,124,4,384,33,23,0
"12","03/28/12",5392,7954,5554,3557,1693,1255,1376,580,931,716,751,778,0,857,528,328,35,274,160,414,247,204,13,106,88,178,198,84,80,230,81,0,9,173,50,226,223,94,0,137,106,6,117,71,5,109,7,180,53,15,0
"13","03/29/12",3056,8927,5539,4029,1816,1243,1371,1331,947,717,879,698,104,831,531,364,114,160,215,365,245,203,17,146,203,231,199,221,142,252,151,0,12,160,58,221,216,93,0,128,97,6,104,87,6,98,11,112,67,21,0
"14","03/30/12",1973,9564,5597,4317,1906,1225,1380,1741,963,724,950,633,280,814,535,388,185,81,242,351,243,201,20,160,352,286,201,259,164,274,183,0,15,154,61,218,213,92,0,129,90,7,103,97,9,90,11,75,81,25,0
"15","03/31/12",1196,9870,5573,4410,1918,1233,1359,1929,948,701,975,610,607,806,521,400,245,67,277,339,244,213,21,171,365,296,201,285,177,290,196,0,16,154,67,207,202,89,0,134,78,7,104,102,10,79,13,61,88,25,0
"16","04/01/12",987,10112,5585,4494,1926,1218,1353,2058,968,726,1002,610,831,802,530,414,278,57,290,347,256,189,24,189,375,317,191,292,188,293,203,0,18,152,65,201,195,94,0,137,72,7,99,106,10,75,17,54,91,25,0
"17","04/02/12",1958,10575,5696,4600,1957,1271,1380,2275,1049,742,1054,586,986,806,528,422,327,39,319,348,278,200,25,209,393,325,200,318,231,304,208,0,20,151,67,193,187,94,0,140,80,7,102,114,12,75,19,56,98,25,0
"18","04/03/12",1,10627,5561,4599,1937,1271,1344,2416,1097,722,1068,543,1119,782,503,400,339,25,338,348,309,226,24,214,414,324,200,330,247,304,223,0,22,141,65,192,186,93,0,141,66,7,94,119,12,73,19,56,96,24,0
"19","06/19/12",1316,10870,5714,4657,1955,1300,1400,2506,1156,743,1090,554,1239,789,510,410,365,27,346,350,321,229,24,216,425,328,201,334,259,304,228,0,23,145,65,193,186,93,0,144,70,7,94,122,12,76,19,56,101,25,0
"20","06/20/12",1092,11155,5824,4704,1942,1345,1423,2650,1222,738,1113,548,1301,784,523,429,410,29,376,347,329,235,25,219,452,332,198,343,273,289,249,0,23,146,62,191,184,91,0,147,76,7,94,123,13,76,19,61,110,24,0
"21","06/21/12",1387,11546,6002,4753,1880,1388,1513,2758,1264,752,1141,583,1378,773,533,450,491,30,377,357,350,241,24,227,481,350,156,350,280,286,275,0,23,154,62,130,120,90,0,150,80,7,92,130,14,74,20,63,117,24,0
"22","06/22/12",906,11758,6162,4746,1863,1427,1589,2888,1292,772,1139,625,1433,750,552,473,542,31,431,369,377,237,24,240,487,354,152,357,297,272,285,0,25,157,63,124,114,85,0,153,81,7,95,138,12,83,21,63,130,24,0
"23","06/23/12",751,11888,6233,4799,1861,1463,1605,2983,1318,774,1162,612,1447,734,545,487,588,33,432,380,375,244,25,247,495,357,151,364,320,274,293,0,29,157,63,120,110,85,0,162,93,6,93,143,11,77,24,64,136,24,0
"24","06/24/12",1182,12065,6355,4845,1880,1507,1623,3073,1298,779,1183,603,1559,746,536,498,624,33,437,378,390,258,27,251,498,360,149,375,332,265,304,0,30,155,62,114,104,84,0,163,96,10,92,149,11,78,24,64,138,23,0
"25","06/25/12",2645,12452,6688,4909,1929,1645,1649,3247,1375,826,1232,606,2101,743,551,536,709,33,454,402,453,324,30,266,523,359,152,412,342,289,317,0,35,155,65,107,97,79,0,175,104,10,92,173,13,84,25,66,152,24,0
"26","06/26/12",1475,12549,6935,4683,1891,1787,1668,3482,1467,865,1260,592,2439,700,565,550,827,33,469,434,510,378,31,273,556,352,162,438,366,313,331,0,38,148,67,95,84,77,0,182,107,11,90,180,15,95,26,71,161,24,0
"27","06/27/12",4719,13251,7642,4743,1854,2006,1933,3631,1661,990,1322,725,2552,711,628,614,977,34,556,469,585,406,34,307,604,365,123,468,399,311,376,0,38,174,74,37,26,77,0,209,114,11,93,196,19,108,31,72,179,23,0
"28","06/28/12",42482,19291,14025,5076,2652,3783,3662,5119,2943,2151,1878,1721,2932,997,1401,1164,2387,44,1155,774,1071,829,98,602,960,528,304,756,662,404,565,16,71,372,162,151,133,128,2,383,235,17,216,321,33,315,75,165,429,42,0
"29","06/29/12",17442,13151,12561,1195,2033,3535,3231,2469,2347,2107,1127,1607,1552,650,1319,1182,1937,18,1084,709,892,848,581,639,514,303,423,414,465,266,361,358,355,352,341,200,182,219,264,325,238,228,220,266,240,302,240,132,372,198,184
"30","06/30/12",8285,10429,10108,718,1745,2766,2609,1650,1787,1731,850,1327,392,525,1084,989,1509,12,906,534,624,640,570,559,412,251,382,303,346,190,276,358,336,299,325,194,177,210,264,253,202,222,208,206,235,259,227,114,302,195,184
"31","07/01/12",8830,9329,8988,602,1656,2524,2320,1261,1591,1554,759,1181,150,470,976,896,1257,9,786,492,553,618,570,506,329,217,366,234,290,185,247,358,329,268,316,185,169,198,264,218,185,221,190,187,230,234,211,89,261,189,184
"32","07/02/12",10500,7999,7676,450,1533,2067,2028,993,1310,1366,641,997,134,407,862,807,1007,9,683,434,420,438,562,458,229,196,347,183,225,161,224,358,321,232,311,168,152,191,264,177,167,220,168,165,229,205,207,84,217,185,184
"33","07/03/12",7206,6400,6093,263,1269,1628,1613,653,989,1096,480,773,10,318,712,690,574,6,563,335,305,348,543,421,144,166,293,114,178,120,207,358,315,172,279,113,101,178,264,132,136,218,135,117,228,145,204,61,157,183,184
"34","07/04/12",3001,5335,4955,146,1124,1317,1251,420,702,883,370,561,3,277,563,596,355,5,436,265,227,318,529,373,75,138,270,69,124,114,110,358,306,144,261,100,90,172,264,103,107,218,118,95,228,124,197,40,96,177,184
"35","07/05/12",4852,4967,4516,101,1044,1198,1140,368,615,798,328,466,2,255,487,547,285,4,379,249,209,307,527,345,62,128,252,54,100,111,101,358,306,131,259,87,77,168,264,86,101,218,109,90,228,89,196,28,78,175,184
"36","07/06/12",3866,4278,3741,56,918,991,911,242,504,626,278,346,2,210,346,487,155,3,322,212,164,267,524,315,41,104,236,26,75,87,87,358,303,106,247,83,73,159,264,63,91,218,93,83,225,64,194,9,56,172,184
"37","07/07/12",4,3687,3150,14,838,858,748,142,417,493,240,249,0,184,247,425,62,1,274,191,132,217,513,286,35,75,194,11,59,63,65,358,301,95,230,76,67,153,264,41,75,217,80,75,221,52,191,6,33,170,184
"38","10/22/12",2740,3687,3149,14,838,858,748,142,417,493,240,249,0,184,246,425,62,1,274,191,132,217,513,286,35,75,194,11,59,63,65,358,301,95,230,76,67,153,264,41,75,217,80,75,221,52,191,6,33,170,184
"39","10/23/12",1396,3388,2926,14,774,799,688,128,372,462,222,229,0,170,232,383,59,1,245,177,114,207,503,241,35,69,182,10,57,59,62,341,298,85,223,70,62,148,262,38,74,214,67,70,217,46,181,6,31,170,184
"40","10/24/12",1534,3204,2793,14,727,758,648,121,354,445,205,221,0,159,215,375,55,1,230,164,108,197,481,228,33,67,176,10,56,56,58,329,284,83,214,69,62,142,262,34,73,213,58,70,198,41,179,6,31,169,184
"41","10/25/12",1814,3004,2634,13,673,719,608,120,336,419,183,210,0,136,203,339,50,1,221,156,103,182,445,206,31,65,164,7,50,53,57,306,263,79,179,69,62,131,256,30,71,194,53,70,185,39,174,6,27,161,184
"42","10/26/12",1333,2831,2441,12,615,662,562,118,306,397,174,198,0,122,178,302,47,1,205,148,97,171,430,179,27,60,157,7,47,50,54,288,249,68,159,69,62,128,247,29,71,187,47,62,181,36,166,6,22,150,184
"43","10/27/12",885,2664,2320,11,564,629,533,118,284,388,168,195,0,113,173,274,46,1,187,144,96,165,420,156,24,59,150,7,47,48,48,275,240,66,147,67,62,122,219,27,68,182,46,50,160,30,163,3,21,146,184
"44","10/28/12",1040,2552,2222,10,535,591,491,118,264,368,156,190,0,106,164,254,38,1,180,140,89,162,398,145,22,59,143,7,45,48,44,261,230,63,139,66,62,119,193,26,67,173,44,38,154,28,151,3,17,141,184
