"","id","freq","name"
"1","813286",3230,"Barack Obama"
"2","50055701",2399,"Mitt Romney"
"3","10168082",2192,"Heritage Foundation"
"4","7713202",1346,"Speaker John Boehner"
"5","14116807",1205,"ShareThis"
"6","11134252",1018,"RNC"
"7","14730894",1011,"FreedomWorks"
"8","20958510",865,"Katy"
"9","11866582",814,"LOLGOP"
"10","10228272",803,"YouTube"
"11","15976697",737,"Michelle Malkin"
"12","18891923",684,"Eric Cantor"
"13","55355654",649,"ThinkProgress"
"14","44209472",585,"AFP"
"15","5357812",583,"John Boehner"
"16","58379000",555,"Rick Santorum"
"17","15300388",544,"Patrick Dollard"
"18","2704951",537,"Fred Thompson"
"19","15450996",515,"Cato Institute"
"20","18217624",499,"Michele Bachmann"
"21","65493023",499,"Sarah Palin"
"22","14728168",491,"Melissa Clouthier"
"23","23022687",488,"Ted Cruz"
"24","15907720",484,"AddThis"
"25","19739126",482,"Kevin McCarthy"
"26","15075753",467,"ATR"
"27","10774652",466,"TheBlaze.com"
"28","47739450",462,"Byron York"
"29","20545835",445,"Newsmax"
"30","14344823",444,"Senate Republicans"
"31","640893",440,"Erick Erickson"
"32","20713061",429,"Newt Gingrich"
"33","14669951",423,"DRUDGE REPORT"
"34","28614262",419,"Townhall.com"
"35","149913262",417,"David Burge"
"36","9300262",417,"POLITICO"
"37","50769180",401,"Laura Ingraham"
"38","16160352",398,"Claire McCaskill"
"39","182251918",396,"Ken Gardner"
"40","17518344",380,"Kevin Eder"
"41","17293897",375,"Andy Borowitz"
"42","15764644",363,"Nancy Pelosi"
"43","25073877",363,"Donald J. Trump"
"44","21707592",356,"ne1 g0tz"
"45","196168350",355,"Ann Coulter"
"46","32497478",343,"Kelly "
"47","1917731",340,"The Hill"
"48","3108351",337,"Wall Street Journal"
"49","1367531",327,"Fox News"
"50","17078632",324,"Gov. Bobby Jindal"
"51","32071013",323,"Dean Clancy"
"52","49457533",323,"Avik S. A. Roy"
"53","50434933",323,"Steven Ertelt"
"54","15923226",314,"Washington Journal"
"55","38495835",314,"Mark R. Levin"
"56","346924655",311,"Villi Wilson"
"57","9508922",303,"Jim DeMint"
"58","39308549",301,"The Daily Caller"
"59","24305174",298,"Dagwood B."
"60","24914494",296,"Brad Hennenfent"
"61","57428429",295,"Big Government"
"62","41634520",293,"Sean Hannity"
"63","759251",293,"CNN"
"64","177584156",286,"Janie Johnson"
"65","149315713",284,"Norsu"
"66","42769016",284,"AssocAmerPhys&Surg"
"67","15745368",277,"Marco Rubio"
"68","18622869",274,"Ezra Klein"
"69","18208120",273,"Right Scoop"
"70","15335534",270,"jimgeraghty"
"71","166990746",270,"Monica Crowley"
"72","61804416",267,"Precious Liberty"
"73","7702542",264,"Dana Loesch"
"74","28885875",263,"CO2HOG"""
"75","96442308",254,"Daniel J Sobieski"
"76","15458694",249,"HuffPost Politics"
"77","300560155",242,"Todd Akin"
"78","179245596",240,"David Limbaugh"
"79","14825851",239,"Hot Air"
"80","469194846",239,"TwitchyTeam"
"81","14662354",238,"The Washington Times"
"82","16692057",237,"C. Steven Tucker"
"83","46520074",230,"Western Journalism"
"84","14377605",228,"The Democrats"
"85","282695161",227,"Wayne Dupree"
"86","19211550",226,"Jim Hoft"
"87","91478624",224,"Forbes"
"88","18089606",223,"Kurt Schlichter"
"89","870456019",221,"DennisMillerLive"
"90","19553409",220,"Scott Rasmussen"
"91","157398659",219,"Nathan Hale"
"92","256800972",216,"JWWright"
"93","35218566",216,"Ari Fleischer"
"94","16193222",215,"Guy Benson"
"95","14511951",214,"Huffington Post"
"96","31127446",213,"Mark Knoller"
"97","43232530",212,"Steph"
"98","16446177",211,"Michele Bachmann"
"99","18388923",210,"Loren Heal"
"100","14844867",208,"Amanda Carpenter"
"101","16467567",206,"reason"
"102","41410702",206,"RB"
"103","28587919",204,"Herman Cain"
"104","23216903",203,"Anthony G. Martin"
"105","15742985",202,"Lachlan Markay"
"106","30313925",201,"The White House"
"107","22509548",200,"Darrell Issa"
"108","16190478",198,"FloridaJayhawk"
"109","22956220",198,"Tammy Bruce"
"110","197845065",196,"Richard Amerling"
"111","49964679",196,"Jeannie"
"112","117176826",195,"Talk Radio"
"113","28785486",195,"ABC News"
"114","16031927",194,"Greta Van Susteren"
"115","30864583",194,"AEI"
"116","78569026",193,"TheNewDeal"
"117","20378448",191,"Philip Klein"
"118","55329156",191,"RNC Research"
"119","5561412",191,"Eric Cantor"
"120","86177206",191,"Tea Party Patriots"
"121","14717197",189,"Talking Points Memo"
"122","45190383",188,"NewsBusters"
"123","129235890",186,"Lori Hendry"
"124","330643630",186,"CA CONSERVATIVE"
"125","16032925",184,"Fox News Politics"
"126","179732982",184,"The Daily Edge"
"127","326255267",184,"Andrew Kaczynski"
"128","15433092",183,"Tom O hAllmhurain"
"129","15012486",179,"CBS News"
"130","17851022",179,"jeffkatzshow"
"131","342887079",179,"Rush Limbaugh"
"132","51241574",178,"The Associated Press"
"133","115753716",177,"John Schroy"
"134","14587949",175,"NFIB"
"135","20435808",175,"Anna Teresa Arnold"
"136","22643800",175,"Teri Peters"
"137","58708159",173,"Resist Tyranny"
"138","14989516",172,"Ben Domenech"
"139","14412533",170,"The Fix"
"140","7597712",170,"PJ Media"
"141","90405702",168,"Andrea Saul"
"142","27502479",166,"Greg Howard"
"143","33276161",166,"John Fugelsang"
"144","1652541",163,"Reuters Top News"
"145","237403203",163,"Allen West"
"146","226409888",162,"Snarky Basterd"
"147","18510860",161,"Mother Jones"
"148","807095",160,"The New York Times"
"149","5496932",157,"NRCC"
"150","56449803",157,"Gop_2012 "
"151","28162811",156,"Tom Holthaus"
"152","415836996",156,"Traditional American"
"153","40930480",155,"Todd Kincannon"
"154","12896172",154,"Patty"
"155","19734832",154,"Sarah Kliff"
"156","2467791",153,"The Washington Post"
"157","30077811",153,"Examiner.com"
"158","8953122",153,"PolitiFact"
"159","14695985",152,"SEIU"
"160","91279573",150,"Adam Baldwin"
"161","22044641",149,"Richard Mourdock"
"162","22099720",149,"Renee"
"163","115979444",147,"D Wasserman Schultz"
"164","22162854",147,"Planned Parenthood"
"165","5781452",146,"el SOOPer"
"166","89496720",145,"Paul Combs"
"167","23209989",144,"Elizabeth Emken"
"168","27744185",143,"Charles Krauthammer"
"169","122212010",142,"Andrew A Bair"
"170","21328656",141,"Investors.com"
"171","410192158",141,"TwitchyPolitics"
"172","60680268",140,"Jedediah Bila"
"173","16674443",139,"HCAN"
"174","29216764",139,"Judge Napolitano "
"175","90651198",139,"Greg Abbott"
"176","10292132",138,"Joel Pollak"
"177","195039023",138,"Politics are Real "
"178","20347310",138,"Erica"
"179","13218102",137,"JohnCornyn"
"180","18791763",137,"Karl Rove"
"181","388986101",136,"American Spring"
"182","42126668",136,"Peyton James"
"183","309558781",135,"Kelly Rek"
"184","15207668",134,"GOP Conference"
"185","17561562",134,"slone"
"186","20686232",134,"Jordan Sekulow"
"187","20791372",134,"ACLJ"
"188","71627462",134,"Jonah Goldberg"
"189","111332093",133,"The Irishman"
"190","16930489",133,"Jon G."
"191","18379614",133,"Dave Rubin"
"192","18906561",133,"Rick Perry"
"193","21269970",133,"Senator Roy Blunt"
"194","457984599",133,"Breitbart News"
"195","18916432",132,"Paul Ryan"
"196","194615561",130,"Prudence"
"197","17609675",129,"Jimmie"
"198","11203972",128,"'Jim' 'Treacher'"
"199","15515169",128,"toddstarnes"
"200","16163639",128,"John Nolte "
"201","17546958",128,"weeklystandard"
"202","14792049",127,"Jason Easley"
"203","21789755",127,"Patty"
"204","18768324",125," StaceinTexas "
"205","45450902",125,"di kele"
"206","20733972",124,"Reince Priebus"
"207","60919240",124,"Donna Brazile"
"208","138459524",123,"greybeard"
"209","255791926",123,"Anna Coles"
"210","3135241",122,"RedState"
"211","43182702",122,"Defund NPR PBS & NEA"
"212","112047805",121,"Brit Hume"
"213","131546062",121,"Rick Scott"
"214","7309052",120,"Yahoo! News"
"215","357013583",119,"FW For America"
"216","75052666",119,"Ed Schultz"
"217","171632862",118,"Jay Sekulow"
"218","518092025",118,"Breitbart.com Feed"
"219","216881337",117,"Senator Rand Paul"
"220","107125748",116,"Fox News Opinion"
"221","27759798",116,"Conservative News"
"222","16012783",115,"The Daily Beast"
"223","113758100",114,"Dennis Miller Show"
"224","16491569",114,"James Pethokoukis"
"225","18956073",114,"Washington Examiner"
"226","23678096",114,"Gunservatively"
"227","237888723",114,"BIZPAC Review"
"228","24431892",114,"Markos Moulitsas"
"229","7039122",113,"College Republicans"
"230","18244206",112,"GayPatriot"
"231","18978553",112,"Rory Cooper"
"232","19417492",112,"National Review"
"233","45641358",112,"PolitixGal"
"234","266488425",110,"Poor Conservative"
"235","17995040",109,"benshapiro"
"236","19877680",109,"Eye on Politics"
"237","2836421",109,"msnbc.com"
"238","407229804",109,"Times247"
"239","21542704",108,"Steel Magnolia"
"240","21044127",107,"Howard Notelling"
"241","244655353",107,"David Axelrod"
"242","25594161",107,"Lee Doren"
"243","34927577",107,"CNSNews.com"
"244","40553282",106,"Stew"
"245","88784440",106,"Mike Lee"
"246","110918004",105,"Chris Mundy"
"247","16228479",105,"SCOTUSblog"
"248","26900055",105,"Dr. Marty Fox"
"249","17976923",104,"CathyMcMorrisRodgers"
"250","26820275",104,"Scott P. Brown "
"251","34701889",104,"MaxCUA"
"252","476848835",104,"Trisha Hope"
"253","59461030",104,"BIG GUNS"
"254","64088396",104,"Ben Howe"
"255","80628196",104,"Official AARP Tweets"
"256","83949216",104,"TriciaNC"
"257","21316253",103,"Zeke Miller"
"258","15675138",102,"CSPAN"
"259","315878798",102,"Chuck Nellis"
"260","5145071",102,"Velvet Hammer"
"261","755802",102,"Eric Snider"
"262","17233536",101,"Opinionated"
"263","18294521",101,"ž BLACK REPUBLICAN ž"
"264","356289222",101,"Jonathan Stein"
"265","74014041",101,"Michelle Ray"
"266","22296258",100,"Margaret "
"267","48459553",100,"Katie Pavlich"
"268","22329038",99,"czar"
"269","26657119",99,"MoveOn.org"
"270","72579376",99,"John Hayward"
