"","time_index","volume","top5_1","top5_2","top5_3","top5_4","top5_5"
"1","03/17/12",923,"p2","tcot","hcr","GOP","ObamaCare"
"2","03/18/12",1187,"p2","hcr","ObamaCare","tcot","SavingHealthCare"
"3","03/19/12",2861,"ACA","healthcareworks","p2","hcr","tcot"
"4","03/20/12",2808,"ACA","healthcareworks","hcr","p2","healthcare"
"5","03/21/12",2887,"ACA","ILikeObamacare","healthcareworks","p2","hcr"
"6","03/22/12",3681,"ILikeObamacare","ILikeObamaCare","ACA","p2","healthcareworks"
"7","03/23/12",13353,"ILikeObamacare","ILikeObamaCare","p2","ACA","tcot"
"8","03/24/12",5489,"ILikeObamacare","p2","Obamacare","tcot","hcr"
"9","03/25/12",4330,"Obamacare","p2","ILikeObamacare","tcot","hcr"
"10","03/26/12",10099,"Obamacare","p2","hcr","tcot","SCOTUS"
"11","03/27/12",10051,"Obamacare","SCOTUS","p2","hcr","tcot"
"12","03/28/12",8557,"Obamacare","SCOTUS","p2","hcr","tcot"
"13","03/29/12",4800,"Obamacare","SCOTUS","p2","tcot","ACA"
"14","03/30/12",3120,"Obamacare","SCOTUS","p2","ACA","tcot"
"15","03/31/12",2018,"Obamacare","SCOTUS","p2","ACA","tcot"
"16","04/01/12",1722,"Obamacare","SCOTUS","ACA","p2","tcot"
"17","04/02/12",3137,"Obamacare","SCOTUS","ACA","p2","healthcare"
"18","04/03/12",2,"Obamacare","SCOTUS","ACA","p2","healthcare"
"19","06/19/12",2063,"Obamacare","SCOTUS","ACA","p2","healthcare"
"20","06/20/12",1977,"Obamacare","SCOTUS","ACA","p2","healthcare"
"21","06/21/12",2418,"Obamacare","SCOTUS","ACA","p2","tcot"
"22","06/22/12",1728,"Obamacare","SCOTUS","ACA","p2","tcot"
"23","06/23/12",1258,"Obamacare","SCOTUS","ACA","p2","tcot"
"24","06/24/12",2067,"Obamacare","SCOTUS","ACA","p2","tcot"
"25","06/25/12",4746,"Obamacare","SCOTUS","ACA","p2","tcot"
"26","06/26/12",2946,"Obamacare","SCOTUS","ACA","p2","tcot"
"27","06/27/12",8530,"Obamacare","SCOTUS","ACA","p2","tcot"
"28","06/28/12",69384,"Obamacare","p2","SCOTUS","ACA","tcot"
"29","06/29/12",27666,"Obamacare","p2","tcot","ACA","ObamaCare"
"30","06/30/12",12669,"Obamacare","p2","tcot","ACA","ObamaCare"
"31","07/01/12",14178,"Obamacare","p2","tcot","ACA","ObamaCare"
"32","07/02/12",16434,"Obamacare","p2","tcot","ACA","ObamaCare"
"33","07/03/12",11258,"Obamacare","p2","tcot","ACA","ObamaCare"
"34","07/04/12",4930,"Obamacare","p2","tcot","ACA","healthcare"
"35","07/05/12",7619,"Obamacare","p2","tcot","ACA","healthcare"
"36","07/06/12",6260,"Obamacare","p2","tcot","healthcare","ACA"
"37","07/07/12",19,"Obamacare","p2","tcot","healthcare","ACA"
"38","10/22/12",4558,"Obamacare","p2","tcot","healthcare","ACA"
"39","10/23/12",2446,"Obamacare","p2","tcot","healthcare","ACA"
"40","10/24/12",2673,"Obamacare","p2","tcot","healthcare","ACA"
"41","10/25/12",3329,"Obamacare","p2","tcot","healthcare","ACA"
"42","10/26/12",2474,"Obamacare","tcot","p2","ACA","healthcare"
"43","10/27/12",1659,"Obamacare","tcot","p2","ACA","healthcare"
"44","10/28/12",1859,"Obamacare","tcot","p2","ACA","obamacare"
"45","10/29/12",2178,"Obamacare","tcot","p2","ACA","obamacare"
"46","10/30/12",2722,"Obamacare","tcot","p2","ACA","obamacare"
"47","10/31/12",2682,"Obamacare","tcot","p2","ACA","obamacare"
"48","11/01/12",3608,"Obamacare","tcot","p2","ACA","obamacare"
"49","11/02/12",2867,"Obamacare","tcot","p2","ACA","obamacare"
"50","11/03/12",2582,"Obamacare","p2","tcot","ACA","healthcare"
"51","11/04/12",2980,"Obamacare","p2","tcot","ACA","healthcare"
"52","11/05/12",4004,"Obamacare","p2","tcot","ACA","healthcare"
"53","11/06/12",4885,"Obamacare","p2","tcot","ACA","healthcare"
"54","11/07/12",4374,"Obamacare","p2","tcot","healthcare","Obama"
"55","11/08/12",7,"healthcare","Obama","Obamacare","reform",NA
