"","id","name","weight"
"1","813286","Barack Obama",1586
"2","11866582","LOLGOP",1317
"3","17293897","Andy Borowitz",721
"4","78569026","TheNewDeal",682
"5","55355654","ThinkProgress",497
"6","16674443","HCAN",487
"7","179732982","The Daily Edge",394
"8","33276161","John Fugelsang",364
"9","14377605","The Democrats",333
"10","41186732","Blue DuPage",304
"11","22162854","Planned Parenthood",263
"12","18622869","Ezra Klein",241
"13","14676022","DCCC",226
"14","17171111","American Progress",212
"15","4214321","Mattison",201
"16","8953122","PolitiFact",198
"17","325265073","utaustinliberal",193
"18","15368940","GottaLaff",192
"19","60919240","Donna Brazile",192
"20","15764644","Nancy Pelosi",191
"21","15458694","HuffPost Politics",188
"22","16790797","Bill Talley",186
"23","10168082","Heritage Foundation",177
"24","30313925","The White House",172
"25","7713202","Speaker John Boehner",169
"26","96823343","Politicolnews",165
"27","326255267","Andrew Kaczynski",163
"28","9300262","POLITICO",160
"29","20733757","Tim",149
"30","14266637","DC Debbie",147
"31","14695985","SEIU",145
"32","1917731","The Hill",143
"33","18510860","Mother Jones",142
"34","13493302","Media Matters",140
"35","18124790","Mike Signorile",140
"36","31127446","Mark Knoller",138
"37","41814169","Fareed Zakaria",134
"38","14511951","Huffington Post",131
"39","51241574","The Associated Press",124
"40","56572080","R. Paine",118
"41","172867574","Rick Cooley",117
"42","26657119","MoveOn.org",114
"43","25605222","Ray Lawson",112
"44","271030180","Captain Clarion",112
"45","65686302","Obama for America NV",112
"46","232851192","BWD",111
"47","8431652","Shoq Value",110
"48","375405313","Bobfr",109
"49","292374563","Rich Gowran",107
"50","133327869","Chico Delainky",102
"51","15554922","American Progress AF",102
"52","20958510","Katy",101
"53","15667802","Obama 2012",99
"54","14717197","Talking Points Memo",98
"55","14730894","FreedomWorks",97
"56","11134252","RNC",95
"57","15446551","sfpelosi",95
"58","35606154","Bharat Manghnani",94
"59","21964694","Ezra Grant",93
"60","2704951","Fred Thompson",93
"61","50482949","Obama for America FL",92
"62","20508720","Greg Sargent",91
"63","18891923","Eric Cantor",89
"64","23328476","Lamont Cranston",89
"65","28654816","Yes, we can!",89
"66","34761747","Steve Kimura",89
"67","50055701","Mitt Romney",89
"68","18379614","Dave Rubin",87
"69","20480549","David Shuster",87
"70","40874240","Ivan Roberson",87
"71","807095","The New York Times",87
"72","14792049","Jason Easley",85
"73","32272710","Pnthrgrlgail",84
"74","640893","Erick Erickson",84
"75","14027452","hardknoxfirst",83
"76","115979444","D Wasserman Schultz",82
"77","219003149","SeniorInfo4U",82
"78","245689692","RightWingWatch MA",82
"79","229144698","Tally Briggs",80
"80","15976697","Michelle Malkin",79
"81","21356559","patti",79
"82","44209472","AFP",79
"83","19734832","Sarah Kliff",78
"84","211181482","SportsGirl101",78
"85","21728303","Keith Boykin",78
"86","27754737","Top Conservative Cat",78
"87","14412533","The Fix",77
"88","244655353","David Axelrod",77
"89","25911044","Doctors for America",77
"90","21268897","Josh Marshall",76
"91","22873947","tks",76
"92","26993825","William K. Wolfrum",75
"93","340333435","TruthTeam2012",75
"94","163813257","chaz",74
"95","24431892","Markos Moulitsas",74
"96","5357812","John Boehner",73
"97","114547989","Stephanie Cutter",71
"98","255791926","Anna Coles",71
"99","295783332","Craig MacNaughton",71
"100","46822887","Imani ABL",71
"101","47728859","Steve Weinstein",71
"102","17006036","NARAL",70
"103","14669951","Drudge Report",69
"104","500217624","Sandra F. Woodward",68
"105","54744689","Ani Sangye",67
"106","16446177","Michele Bachmann",65
"107","7784732","sevenish",65
"108","14135426","Rep. Keith Ellison",64
"109","16472571","sunshineejc",64
"110","18587457","Melissa Harris-Perry",64
"111","371950796","M. Naz",64
"112","14437914","NewsHour",63
"113","15463671","Sam Stein",63
"114","16193222","Guy Benson",63
"115","494583213","Sandra Fluke",63
"116","14728168","Melissa Clouthier",62
"117","21717987","Geoff Ninecow",62
"118","53861909","Bonnie Hare",62
"119","64009474","A. Denovir MD PhD",61
"120","5392522","NPR News",60
"121","14327933","Lis Smith",59
"122","21696279","Brian Beutler",59
"123","334878657","Thanks Obamacare",59
"124","14526877","Gabe Ortíz",55
"125","149913262","David Burge",55
"126","15675138","CSPAN",55
"127","50769180","Laura Ingraham",55
"128","15012486","CBS News",54
"129","182251918","Ken Gardner",54
"130","522170874","FunkyForObama",54
"131","75052666","Ed Schultz",54
"132","15446531","Matt Yglesias",53
"133","1947301","The Nation",53
"134","59159771","Katrina vandenHeuvel",53
"135","15099539","Bruce Lesley",52
"136","2467791","The Washington Post",52
"137","302745757","weywerdSun",52
"138","357606935","Elizabeth Warren",52
"139","79797834","Roger Ebert",52
"140","1566661","Stephen Hackett",51
"141","17518344","Kevin Eder",51
"142","18188773","usdemocrats",51
"143","208361818","Majority Report",51
"144","23730438","Justine Larbalestier",51
"145","27512951","Don Millard",51
"146","20479813","Michael Moore",50
"147","25073877","Donald J. Trump",50
"148","13524182","daveweigel",49
"149","15164565","Slate",49
"150","15335534","jimgeraghty",49
"151","177584156","Janie Johnson",49
"152","196168350","Ann Coulter",49
"153","20713061","Newt Gingrich",49
"154","24305174","Dagwood B.",49
"155","247378337","Chernynkaya",49
"156","5741722","NPR Politics",49
"157","21929250","MICHAEL DOLLAR",48
"158","24733117","Jeffrey Levin",48
"159","349426095","GOP Unplugged",48
"160","47739450","Byron York",48
"161","78419512","Obama for America OH",48
"162","19697415","Bill Maher",47
"163","20182089","West Wing Report",47
"164","23255247","Barracks O'Bama",47
"165","409486555","Michelle Obama",47
"166","55049166","Obama for America PA",47
"167","112002661","Christopher Marlowe",46
"168","16906137","pourmecoffee",46
"169","22737278","David Roberts",46
"170","338594583","Gina ",46
"171","43626022","Denise A. Romano",46
"172","49698134","Joy Reid",46
"173","100538334","Obama for America SC",44
"174","207589835","cheerio grrrl",44
"175","63262233","EMILY's List",44
"176","980611","Karoli",44
"177","114497182","Ben LaBolt",43
"178","14344823","Senate Republicans",43
"179","15049826","Milt Shook",43
"180","16303106","Stephen Colbert",43
"181","18388923","Loren Heal",43
"182","192028387","Progressive Buzz",43
"183","27446191","Expendable Class",43
"184","279164084","Watchdog Progressive",43
"185","42245932","V K",43
"186","72552866","US Reality Check ",43
"187","118718294","Joan de Plume",41
"188","139853489","Kernel Wars",41
"189","21707592","ne1 g0tz",41
"190","269441846","Lola Haag",41
"191","53019309","Casey",41
"192","16250929","Taegan Goddard",40
"193","16967845","Ntl Women's Law Ctr ",40
"194","45395460","Florida Gordon",40
"195","58379000","Rick Santorum",40
"196","16187637","Chad Pergram",39
"197","308233424","Roger Simon",39
"198","396044297","Peggy Stuart",39
"199","459617681","Quarter-Billionaire",39
"200","72198806","Kirsten Gillibrand",39
"201","140060120","David Pakman Show",38
"202","16326882","AdamSerwer",38
"203","23605505","Steve Walker",38
"204","352548417","Paul Begala",38
"205","55133916","Obama for America LA",38
"206","130617778","Keith Olbermann",37
"207","148529707","Robert Reich",37
"208","15952856","Ari Berman",37
"209","160010755","John Dean",37
"210","1716581","Elon James White",37
"211","18978610","Sally Kohn",37
"212","19462341","Eileen Left""",37
