"","id","freq","text"
"1","218362435814440961",154,"Boehner: ""This is a dark day for America. If we are forced to have healthcare, it's only a matter of time before we have education."""
"2","218377891577204738",138,"RT @MSignorile: Breaking: Conservatives planning to leave U.S., but can't find wealthy Western democracy without universal health care.  ..."
"3","218348142234570754",134,"Victory for the American people! Millions of American families and children will have certainty of health care benefits + affordable care."
"4","183267904530300929",92,"If you're proud of Obamacare and tired of the other side using it as a dirty word, complete this sentence: #ILikeObamacare because..."
"5","261472400703643648",88,"Colin Powell endorsed President Obama this morning, citing his leadership on jobs, foreign policy, and health care: http://t.co/QnDhKPHH"
"6","218350925503410176",82,"RT @RubinReport: Only in America would so many overweight, diabetic people with heart disease be upset that they're gonna have healthcar ..."
"7","218042873176801280",79,"RT @BorowitzReport: Tomorrow, nine people who get free government healthcare will let us know what the rest of us get."
"8","265981723949543424",71,"RT @Annaluvsproduce: For those saying ""if Obama wins I'm going to Australia"" our PM is a single atheist woman &amp; we have universal he ..."
"9","215536454976286721",66,"Obamacare was 2700 pages &amp; that's too much to read; AG Holder turns in 7600 pages on Fast &amp; Furious and it's not enough."
"10","183321668490510336",63,"Presidents tried to reform health care for nearly a century. This one got it done: http://t.co/bnWEvHBt #ILikeObamacare"
"11","263276256047542272",60,"I fear that the outrage about Romney wanting to eliminate FEMA will make us forget he wants to eliminate Planned Parenthood &amp; healthcare."
"12","219210178661322752",58,"FACT: Thanks to the #ACA, health insurers have to spend at least 80% of your premium on your health care, or you get a rebate. #progress"
"13","219933221197066242",58,"RT @MittRomney: .@BarackObama's healthcare promises have fallen short. RT and share this infographic if you agree http://t.co/a4lCksvR"
"14","183267724124880897",53,"Happy birthday to Obamacare: two years in, the Affordable Care Act is making millions of Americans' lives better every day."
"15","218399408008597506",51,"Presidents tried to pass health care reform for decadesand this one got it done. http://t.co/Rln3fHd3 #progress"
"16","265979006078316546",51,"RT @JustineLavaworm: For those saying ""if Obama wins I'm going to Australia"" our PM is a single atheist woman &amp; we have universal he ..."
"17","183694086170095617",49,"Dick Cheney, opposed to gov't-funded health care, just got a new heart thru  gov't-funded health care.  You paid for it."
"18","218353695576965121",49,"I'm disappointed #SCOTUS thinks gov't knows better than people. I won't stop fighting #Obamacare until is full repeal. RT if you're with me."
"19","261651628820688897",49,"RT @DavidShuster: Love the Tea Party folks who vow to move to Canada if Obama wins -- unaware Canada has socialized health care.  Classi ..."
"20","266051855333859328",49,"RT @ismh: Just gave my kids a kiss as they sleep. Thanks to healthcare reform, I can afford to insure them both, not just the one withou ..."
"21","218389999241007104",48,"Mitt Romney will not rest until children can again be denied care for Pre-existing Conditions #fullrepeal #obamacare"
"22","218435418906050561",47,"FACT: Thanks to the Presidents health care law, children with pre-existing conditions cant be denied health coverage. #progress"
"23","218472839249010688",47,"RT @politifact: Romney said today 'Obamacare' add trillions to the deficit. False. http://t.co/EnnR7wg1"
"24","185477908578566145",44,"RT @fredthompson: NBC's Andrea Mitchell says Cuba ""highly regarded for its health care."" Also notable for it's vibrant amateur sailing i ..."
"25","185209936421199872",43,"Free question for Justice Scalia to use against Obamacare: Why doesn't everyone just get a lifetime appointment with free healthcare?"
