"","id","freq","name"
"1","813286",3741,"Barack Obama"
"2","11866582",1616,"LOLGOP"
"3","55355654",1412,"ThinkProgress"
"4","50055701",1168,"Mitt Romney"
"5","17293897",907,"Andy Borowitz"
"6","78569026",762,"TheNewDeal"
"7","7713202",680,"Speaker John Boehner"
"8","15923226",653,"Washington Journal"
"9","16674443",577,"HCAN"
"10","14792049",538,"Jason Easley"
"11","15458694",519,"HuffPost Politics"
"12","33276161",504,"John Fugelsang"
"13","14377605",450,"The Democrats"
"14","14717197",450,"Talking Points Memo"
"15","18622869",445,"Ezra Klein"
"16","179732982",441,"The Daily Edge"
"17","9300262",397,"POLITICO"
"18","15764644",378,"Nancy Pelosi"
"19","14511951",362,"Huffington Post"
"20","41186732",361,"Blue DuPage"
"21","10168082",349,"Heritage Foundation"
"22","11134252",348,"RNC"
"23","10228272",341,"YouTube"
"24","14676022",341,"DCCC"
"25","14116807",338,"ShareThis"
"26","30313925",337,"The White House"
"27","22162854",336,"Planned Parenthood"
"28","17171111",318,"American Progress"
"29","8953122",310,"PolitiFact"
"30","18510860",307,"Mother Jones"
"31","75052666",299,"Ed Schultz"
"32","18891923",286,"Eric Cantor"
"33","15368940",272,"GottaLaff"
"34","26657119",241,"MoveOn.org"
"35","759251",237,"CNN"
"36","51241574",230,"The Associated Press"
"37","60919240",229,"Donna Brazile"
"38","14695985",228,"SEIU"
"39","16790797",227,"Bill Talley"
"40","325265073",224,"utaustinliberal"
"41","96823343",224,"Politicolnews"
"42","15667802",221,"Obama 2012"
"43","19734832",218,"Sarah Kliff"
"44","20818801",218,"Daily Kos"
"45","4214321",218,"Mattison"
"46","326255267",216,"Andrew Kaczynski"
"47","8431652",208,"Shoq Value"
"48","1917731",205,"The Hill"
"49","13493302",199,"Media Matters"
"50","15675138",196,"CSPAN"
"51","14266637",192,"DC Debbie"
"52","18124790",190,"Mike Signorile"
"53","41814169",190,"Fareed Zakaria"
"54","31127446",187,"Mark Knoller"
"55","20733757",182,"Tim"
"56","807095",173,"The New York Times"
"57","16129920",170,"Rachel Maddow MSNBC"
"58","244655353",162,"David Axelrod"
"59","2836421",162,"msnbc.com"
"60","21619519",159,"Joe Scarborough"
"61","232851192",158,"BWD"
"62","19739126",156,"Kevin McCarthy"
"63","114547989",155,"Stephanie Cutter"
"64","15012486",155,"CBS News"
"65","15907720",155,"AddThis"
"66","2467791",153,"The Washington Post"
"67","5357812",153,"John Boehner"
"68","16012783",152,"The Daily Beast"
"69","115979444",151,"D Wasserman Schultz"
"70","14730894",151,"FreedomWorks"
"71","271030180",151,"Captain Clarion"
"72","46822887",150,"Imani ABL"
"73","172867574",149,"Rick Cooley"
"74","339822881",149,"Sen. McConnell Press"
"75","494583213",143,"Sandra Fluke"
"76","58379000",142,"Rick Santorum"
"77","110558385",141,"Zite "
"78","56572080",140,"R. Paine"
"79","1652541",139,"Reuters Top News"
"80","25073877",136,"Donald J. Trump"
"81","35606154",136,"Bharat Manghnani"
"82","340333435",135,"TruthTeam2012"
"83","65686302",135,"Obama for America NV"
"84","44209472",133,"AFP"
"85","14412533",131,"The Fix"
"86","20958510",131,"Katy"
"87","25605222",131,"Ray Lawson"
"88","20508720",130,"Greg Sargent"
"89","292374563",130,"CaptivatingNews"
"90","640893",130,"Erick Erickson"
"91","65493023",130,"Sarah Palin"
"92","21964694",129,"Ezra Grant"
"93","5392522",129,"NPR News"
"94","14437914",128,"NewsHour"
"95","15446551",128,"sfpelosi"
"96","28654816",128,"Yes, we can!"
"97","15976697",126,"Michelle Malkin"
"98","15554922",125,"American Progress AF"
"99","18217624",125,"MicheleBachmann"
"100","55133916",123,"Obama for America LA"
"101","28785486",119,"ABC News"
"102","34761747",118,"Steve Kimura"
"103","1367531",117,"Fox News"
"104","133327869",116,"Chico Delainky"
"105","375405313",114,"Bobfr"
"106","980611",113,"Karoli"
"107","314261554",111,"TPM Livewire"
"108","44783853",111,"HHSGov"
"109","163813257",110,"chaz"
"110","18379614",109,"Dave Rubin"
"111","14344823",106,"Senate Republicans"
"112","14669951",106,"Drudge Report"
"113","21696279",106,"Brian Beutler"
"114","219003149",106,"SeniorInfo4U"
"115","23328476",106,"Lamont Cranston"
"116","50482949",106,"Obama for America FL"
"117","15463671",105,"Sam Stein"
"118","177584156",105,"Janie Johnson"
"119","20480549",105,"David Shuster"
"120","5561412",104,"Eric Cantor"
"121","86697288",103,"HealthCare.gov"
"122","21268897",102,"Josh Marshall"
"123","371950796",102,"M. Naz"
"124","211181482",101,"SportsGirl101"
"125","2704951",101,"Fred Thompson"
"126","330592913",101,"Martin Bashir"
"127","13524182",100,"daveweigel"
"128","21634627",100,"Jonathan Cohn"
"129","80628196",100,"Official AARP Tweets"
"130","14728168",99,"Melissa Clouthier"
"131","47728859",99,"Steve Weinstein"
"132","18916432",98,"Paul Ryan"
"133","25911044",98,"Doctors for America"
"134","40874240",98,"Ivan Roberson"
"135","188014427",97,"AddictingInfo.Org"
"136","20479813",97,"Michael Moore"
"137","26993825",97,"William K. Wolfrum"
"138","14135426",96,"Rep. Keith Ellison"
"139","24431892",95,"Markos Moulitsas"
"140","7309052",95,"Yahoo! News"
"141","158426909",94,"Lawrence O'Donnell"
"142","17006036",94,"NARAL"
"143","21356559",94,"patti"
"144","524396430",94,"Upworthy"
"145","16228479",92,"SCOTUSblog"
"146","32272710",92,"Pnthrgrlgail"
"147","21728303",90,"Keith Boykin"
"148","49457533",90,"Avik S. A. Roy"
"149","17078632",89,"Gov. Bobby Jindal"
"150","64009474",89,"A. Denovir MD PhD"
"151","22873947",88,"T "
"152","245689692",88,"RightWingWatch MA"
"153","27754737",88,"Top Conservative Cat"
"154","14027452",87,"hardknoxfirst"
"155","15164565",87,"Slate"
"156","16472571",87,"sunshineejc"
"157","16955991",87,"Salon.com"
"158","17518344",87,"Kevin Eder"
"159","18587457",86,"Melissa Harris-Perry"
"160","196168350",86,"Ann Coulter"
"161","229144698",86,"Tally Briggs"
"162","21862217",85,"Krystal Ball"
"163","295783332",85,"Craig"
"164","53019309",85,"Casey"
"165","71969051",85,"Living Democracy"
"166","114497182",84,"Ben LaBolt"
"167","14327933",84,"Lis Smith"
"168","352548417",84,"Paul Begala"
"169","1947301",83,"The Nation"
"170","302745757",83,"weywerdSun"
"171","14466538",82,"DSCC"
"172","149913262",82,"David Burge"
"173","15446531",82,"Matt Yglesias"
"174","91478624",82,"Forbes"
"175","18301196",81,"Gay Civil Rights"
"176","19697415",81,"Bill Maher"
"177","53861909",81,"Bonnie Hussein Obama"
"178","15335534",80,"jimgeraghty"
"179","54744689",80,"Ani Sangye"
"180","35773039",79,"The Atlantic"
