"","id","Username","Real_Name","verified","followers_count","retweet_count","listed_count"
"1","266178437918628992","MiaFarrow","mia farrow",TRUE,70975,9241,1377
"2","266162767776579008","NickKristof","Nicholas Kristof",TRUE,1332645,8103,18923
"3","266009095457366016","HollandTaylor","Holland Taylor",TRUE,18875,7342,313
"4","218468837790728000","wilw","Wil Wheaton",TRUE,2029461,4476,30694
"5","219362776978684992","Pistachio","Laura Fitton",TRUE,101020,3694,7551
"6","265596002508079008","PleasureEllis","Pleasure Ellis",TRUE,1068105,2963,19121
"7","218376520127884992","RepKarenBass","Congressmember Bass",TRUE,5768,2776,375
"8","265357738593382016","Chillie_Mo","Chillie Mo (C. MO)",TRUE,128548,2742,2166
"9","218361994317795008","HuffingtonPost","Huffington Post",TRUE,1916563,2046,48590
"10","218412507218444000","OFA_VA","Obama for America VA",TRUE,8733,1916,244
"11","218357923376672000","MCHammer","MC HAMMER",TRUE,2765335,1841,14495
"12","218357073740692992","repsandylevin","Sandy Levin",TRUE,5207,1803,503
"13","261479105843825984","joshuadubois","joshuadubois",TRUE,12165,1327,94
"14","218352375285547008","WaysMeansCmte","Ways and Means Dems",TRUE,6904,1251,610
"15","183593242233815008","OFA_AZ","Obama for America AZ",TRUE,3818,1111,203
"16","183590423632158016","OFA_NM","Obama for America NM",TRUE,4054,1010,180
"17","183291682333264992","OFA_CA","Obama for America CA",TRUE,8287,879,350
"18","218451150905683008","NancySinatra","Nancy Sinatra",TRUE,42429,676,2283
"19","218349865804107008","PPact","Planned Parenthood",TRUE,54708,657,1785
"20","218349789253860992","HouseDemocrats","House Democrats",TRUE,29191,632,1711
"21","260556939451304992","AFPhq","AFP",TRUE,30685,624,840
"22","218748725319835008","BorowitzReport","Andy Borowitz",TRUE,264766,584,8302
"23","182234922822544992","OFA_WA","Obama for America WA",TRUE,3499,506,215
"24","219939055041912000","CoryBooker","Cory Booker",TRUE,1164686,499,8145
"25","264125666193190016","donnabrazile","Donna Brazile",TRUE,283333,485,6086
"26","219928670465294016","CarolynBMaloney","Carolyn B. Maloney",TRUE,5179,477,438
"27","260566804802452992","thejimjams","James Hirsen",TRUE,280265,476,3808
"28","218529774350499008","Reince","Reince Priebus",TRUE,58332,460,1345
"29","265293911579295008","OFA_IA","Obama for America IA",TRUE,12787,457,322
"30","218400580425616992","OFA_KY","Obama for America KY",TRUE,3351,457,106
"31","184691034477952992","BuzzFeedBen","Ben Smith",TRUE,72055,408,4034
"32","184293957067480992","virginiafoxx","Virginia Foxx",TRUE,7041,346,733
"33","260563535984225984","seanhannity","Sean Hannity",TRUE,554756,330,9206
"34","184270902270233984","edshow","Ed Schultz",TRUE,48857,306,1245
"35","218356974570576992","RepDianeBlack","Diane Black",TRUE,3642,286,341
"36","218492134284726016","GregBehrendt","Greg Behrendt",TRUE,17040,283,783
"37","218656073815572000","farenthold","Blake Farenthold",TRUE,3441,278,274
"38","218373896339079008","RepReneeEllmers","Rep. Renee Ellmers",TRUE,6336,275,410
"39","218370294530841984","RepStutzman","Rep. Marlin Stutzman",TRUE,1665,265,164
"40","218378860465635008","TeamBoehner","Team Boehner",TRUE,1515,259,40
"41","218348838510014016","OFA_MS","Obama for America MS",TRUE,3926,247,123
"42","266049500462854016","ScottFeinberg","Scott Feinberg",TRUE,5766,236,321
"43","218345900567825984","vijayiyer","vijayiyer",TRUE,6451,230,373
"44","263309180134363008","michellemalkin","Michelle Malkin",TRUE,434667,216,11304
"45","262354870043016992","OFA_CO","Obama for America CO",TRUE,19329,209,483
"46","218550160890936992","RepDennisRoss","Dennis Ross",TRUE,4364,205,426
"47","260564863452056992","johnculberson","johnculberson",TRUE,15942,202,850
"48","219871733065334016","maziehirono","Mazie Hirono",TRUE,4196,202,383
"49","218393804221332992","SilvestreReyes","Congressman Reyes",TRUE,3495,188,300
"50","218465587918155008","MaryBonoMack","Rep. Mary Bono Mack",TRUE,8706,184,706
"51","218388134570900992","dscc","DSCC",TRUE,24611,177,1440
"52","218380214802193984","EricCantor","Eric Cantor",TRUE,72076,175,3276
"53","218360219661639008","RepGoodlatte","Bob Goodlatte",TRUE,5129,162,547
"54","220288472747999008","BillyHallowell","Billy Hallowell",TRUE,52346,157,1678
"55","219839186381967008","GOPLeader","Eric Cantor",TRUE,87699,151,3871
"56","218405461442035008","NRSC","NRSC",TRUE,26579,147,1075
"57","185447032939487008","SenGillibrand","Kirsten Gillibrand",TRUE,35472,145,2327
"58","183269610613784000","OFA_OH","Obama for America OH",TRUE,5888,140,199
"59","218345472245513984","TomRooney","Tom Rooney",TRUE,7446,139,594
"60","218431835863120992","RepTomGraves","Tom Graves",TRUE,4197,137,285
"61","218363653689311008","cathymcmorris","CathyMcMorrisRodgers",TRUE,10991,131,930
"62","218379766263324000","WaysandMeansGOP","Ways&Means Committee",TRUE,7610,129,531
"63","260556506179702016","OFA_NV","Obama for America NV",TRUE,22831,128,422
"64","264214538008796992","PamGrier","Pam Grier",TRUE,504267,122,3047
"65","183297090296872000","janschakowsky","Jan Schakowsky",TRUE,6301,122,598
"66","265216201439972992","DevinNunes","Devin Nunes",TRUE,1808,121,185
"67","218396594138136000","maddow","Rachel Maddow MSNBC",TRUE,2142227,120,32768
"68","265995687659991008","thegarance","Garance Franke-Ruta",TRUE,19456,119,981
"69","182475014644318016","NRCC","NRCC",TRUE,29827,109,923
"70","218383150571728000","nprfreshair","NPR's Fresh Air",TRUE,78532,107,3756
"71","218415426932177984","BuckMcKeon","Buck McKeon",TRUE,8428,105,714
"72","218355714249342016","JoeNBC","Joe Scarborough",TRUE,161795,104,5041
"73","184832512751702016","KarenElsonMusic","Karen Elson",TRUE,11261,96,210
"74","183207878482595008","RepWalberg","Rep Tim Walberg",TRUE,4299,94,292
