"","ideology","Username","Real_Name","verified","followers_count","retweet_count"
"1","C","nprpolitics","NPR Politics",FALSE,1807526,0
"2","C","gregnazvanov","greg nazvanov",FALSE,688066,0
"3","C","nonprofitorgs","@NonprofitOrgs",FALSE,565798,25
"4","C","Wakooz_RSS","Jean-Sébastien J. ",FALSE,554224,0
"5","C","ForbesTech","Forbes.com Tech News",FALSE,552872,0
"6","C","Radioblogger","Duane Patterson",FALSE,548878,0
"7","C","nansen","Nansen Malin",FALSE,515253,2
"8","C","folha_com","Folha de S.Paulo",FALSE,429752,0
"9","C","DRUDGE_REPORT","DRUDGE REPORT",FALSE,424096,0
"10","C","JonahLupton","Jonah Lupton",FALSE,406239,0
"11","C","echoinggreen","Echoing Green",FALSE,401386,0
"12","C","clatko","Chris Latko ¯ê¹éÈ¥³ÿ",FALSE,400444,0
"13","C","FXStefan","Stefan Stredak",FALSE,378296,0
"14","C","GLaraLopez","Gerardo Lara",FALSE,374838,0
"15","C","HealthHabits","Health Habits",FALSE,370307,0
"16","C","NowReport","NowReport",FALSE,369633,0
"17","C","tjholthaus","Tom Holthaus",FALSE,354221,0
"18","C","WayneElsey","Wayne Elsey",FALSE,326302,1
"19","C","TPO_Hisself","Tom O'Halloran",FALSE,312051,0
"20","C","AnnCoulter","Ann Coulter",FALSE,282526,2
"21","C","grattongirl","Sarah-Jayne Gratton",FALSE,268225,0
"22","C","fxp123","Algernon  Fross",FALSE,252480,120
"23","C","AmerMedicalAssn","AMA",FALSE,248920,0
"24","C","FredCuellar","Fred Cuellar",FALSE,242562,0
"25","C","OperationFollow","#TeamFollowBack",FALSE,231375,0
"26","C","zaibatsu","Reg Saddler",FALSE,229796,0
"27","C","NYTSmallBiz","NYT Small Business",FALSE,219827,0
"28","C","BryanLongworth","Bryan Longworth",FALSE,218461,0
"29","C","rockingjude","rockingjude",FALSE,214203,1
"30","C","jkloren","Julian Keith Loren",FALSE,197467,0
"31","C","BlogginJoe","U(Õ?-)U #195K+",FALSE,195535,0
"32","C","mbl","MB Linder",FALSE,194356,0
"33","C","RealFarrahGray","Farrah Gray",FALSE,187421,0
"34","C","tinastullracing","Tina Stull",FALSE,185985,2
"35","C","RogerBezanis","ROGER BEZANIS",FALSE,176946,0
"36","C","JETAR9","Etienne Arsenault",FALSE,170325,1
"37","C","OccupyWallSt","Occupy Wall Street",FALSE,170267,0
"38","C","PersonhoodFL","Personhood Florida",FALSE,167838,0
"39","C","TCTaxTeaParty","TC Tax Day Tea Party",FALSE,167166,0
"40","C","CharityZone","Charity Zone",FALSE,166585,3
"41","C","HousingReporter","Joe Manausa",FALSE,166260,0
"42","C","politifact","PolitiFact",FALSE,161826,0
"43","C","fivethirtyeight","Nate Silver",FALSE,159610,0
"44","C","DrEddyClinic","Dr.Eddy M.D.",FALSE,159415,0
"45","C","personhoodusa","personhoodusa",FALSE,158475,0
"46","C","OnlineBizss","Business & Finance",FALSE,157110,0
"47","C","HealthHive","Health News",FALSE,156258,0
"48","C","WashingtonDCTea","WashingtonDCTeaParty",FALSE,154834,0
"49","C","MarkRMatthews","Mark R Matthews",FALSE,151341,0
"50","C","williamtincup","William Tincup, SPHR",FALSE,148697,0
"51","C","KatyinIndy","Katy",FALSE,146780,0
"52","C","SupermanHotMale","Tim",FALSE,142777,0
"53","C","WarrenWhitlock","Warren Whitlock",FALSE,142302,0
"54","C","maudnewton","Maud Newton",FALSE,140805,0
"55","C","mikepfs","mikepfs",FALSE,138824,0
"56","C","mikeallen","Mike Allen",FALSE,132384,8
"57","C","bpblog2","Bible Prophecy Blog",FALSE,131994,0
"58","C","wishnie","Christopher Wishnie",FALSE,129491,0
