"","time_index","volume","top5_1","top5_2","top5_3","top5_4","top5_5"
"1","03/17/12",923,"tcot","p2","Obamacare","gop","tlot"
"2","03/18/12",1187,"tcot","Obamacare","ObamaCare","p2","hcr"
"3","03/19/12",2861,"tcot","Obamacare","ObamaCare","ACA","p2"
"4","03/20/12",2808,"tcot","Obamacare","ObamaCare","ACA","hcr"
"5","03/21/12",2887,"Obamacare","tcot","ObamaCare","ACA","hcr"
"6","03/22/12",3681,"ILikeObamacare","ILikeObamaCare","tcot","Obamacare","ACA"
"7","03/23/12",13353,"ILikeObamacare","ILikeObamaCare","tcot","Obamacare","p2"
"8","03/24/12",5489,"tcot","ILikeObamacare","Obamacare","ObamaCare","p2"
"9","03/25/12",4330,"tcot","Obamacare","ObamaCare","p2","ILikeObamacare"
"10","03/26/12",10099,"tcot","Obamacare","ObamaCare","p2","SCOTUS"
"11","03/27/12",10051,"tcot","Obamacare","SCOTUS","ObamaCare","p2"
"12","03/28/12",8557,"Obamacare","tcot","SCOTUS","ObamaCare","p2"
"13","03/29/12",4800,"Obamacare","SCOTUS","tcot","ObamaCare","p2"
"14","03/30/12",3120,"Obamacare","SCOTUS","tcot","ObamaCare","p2"
"15","03/31/12",2018,"Obamacare","SCOTUS","tcot","ObamaCare","p2"
"16","04/01/12",1722,"Obamacare","SCOTUS","tcot","ObamaCare","healthcare"
"17","04/02/12",3137,"Obamacare","SCOTUS","tcot","ObamaCare","healthcare"
"18","04/03/12",2,"Obamacare","SCOTUS","tcot","ObamaCare","healthcare"
"19","06/19/12",2063,"Obamacare","SCOTUS","tcot","ObamaCare","healthcare"
"20","06/20/12",1977,"Obamacare","SCOTUS","tcot","ObamaCare","p2"
"21","06/21/12",2418,"Obamacare","SCOTUS","tcot","ObamaCare","p2"
"22","06/22/12",1728,"Obamacare","SCOTUS","tcot","ObamaCare","p2"
"23","06/23/12",1258,"Obamacare","SCOTUS","tcot","ObamaCare","p2"
"24","06/24/12",2067,"Obamacare","SCOTUS","tcot","ObamaCare","p2"
"25","06/25/12",4746,"Obamacare","tcot","SCOTUS","ObamaCare","p2"
"26","06/26/12",2946,"Obamacare","tcot","SCOTUS","ObamaCare","p2"
"27","06/27/12",8530,"Obamacare","tcot","SCOTUS","ObamaCare","p2"
"28","06/28/12",69384,"Obamacare","tcot","ObamaCare","SCOTUS","p2"
"29","06/29/12",27666,"tcot","Obamacare","p2","ObamaCare","teaparty"
"30","06/30/12",12669,"tcot","Obamacare","p2","ObamaCare","teaparty"
"31","07/01/12",14178,"tcot","Obamacare","p2","ObamaCare","teaparty"
"32","07/02/12",16434,"tcot","Obamacare","p2","ObamaCare","teaparty"
"33","07/03/12",11258,"tcot","Obamacare","p2","ObamaCare","teaparty"
"34","07/04/12",4930,"tcot","Obamacare","p2","ObamaCare","obamacare"
"35","07/05/12",7619,"tcot","Obamacare","p2","ObamaCare","obamacare"
"36","07/06/12",6260,"tcot","Obamacare","p2","ObamaCare","obamacare"
"37","07/07/12",19,"tcot","Obamacare","p2","ObamaCare","obamacare"
"38","10/22/12",4558,"tcot","Obamacare","p2","ObamaCare","obamacare"
"39","10/23/12",2446,"tcot","Obamacare","p2","ObamaCare","obamacare"
"40","10/24/12",2673,"tcot","Obamacare","p2","ObamaCare","obamacare"
"41","10/25/12",3329,"tcot","Obamacare","p2","ObamaCare","obamacare"
"42","10/26/12",2474,"tcot","Obamacare","p2","ObamaCare","obamacare"
"43","10/27/12",1659,"tcot","Obamacare","p2","ObamaCare","obamacare"
"44","10/28/12",1859,"tcot","Obamacare","p2","ObamaCare","obamacare"
"45","10/29/12",2178,"tcot","Obamacare","p2","ObamaCare","obamacare"
"46","10/30/12",2722,"tcot","Obamacare","p2","ObamaCare","obamacare"
"47","10/31/12",2682,"tcot","Obamacare","p2","ObamaCare","obamacare"
"48","11/01/12",3608,"tcot","Obamacare","p2","ObamaCare","obamacare"
"49","11/02/12",2867,"tcot","Obamacare","p2","ObamaCare","obamacare"
"50","11/03/12",2582,"tcot","Obamacare","p2","ObamaCare","obamacare"
"51","11/04/12",2980,"tcot","Obamacare","p2","ObamaCare","obamacare"
"52","11/05/12",4004,"tcot","Obamacare","ObamaCare","p2","healthcare"
"53","11/06/12",4885,"tcot","Obamacare","ObamaCare","p2","healthcare"
"54","11/07/12",4374,"tcot","Obamacare","ObamaCare","p2","healthcare"
"55","11/08/12",7,"healthcare","Obama","Obamacare","reform","tco"
