"","time_index","volume","Obamacare","tcot","SCOTUS","p2","healthcare","ACA","obamacare","teaparty","FullRepeal","hcr","tlot","GOP","gop","Obama","sgp","Healthcare","ocra","ObamaCareInThreeWords","scotus","TCOT","ILikeObamacare","fullrepeal","Romney","news","Obama2012","HCR","twisters","aca","OBAMACARE","TeaParty","4jobs","HealthCare","Jobs","lnyhbt","health","Medicare","ObamaTax","Mitt2012","RomneyRyan2012","obama2012","Job","P2","Phoenix","tax","LNYHBT","obama","ILikeObamaCare","Benghazi","MOsen"
"1","03/17/12",923,53,94,2,40,14,5,10,21,0,22,23,11,25,6,20,5,16,0,1,8,0,0,5,10,4,11,6,0,2,4,1,1,3,0,3,0,0,0,0,3,3,0,3,0,0,4,0,0,0
"2","03/18/12",1187,164,187,7,66,36,33,20,53,0,63,29,30,21,6,22,28,21,0,2,21,0,0,5,14,10,29,10,2,2,12,0,3,26,0,8,3,0,0,0,4,21,2,20,0,0,7,0,0,0
"3","03/19/12",2861,586,530,34,206,115,210,48,106,0,196,59,72,38,37,59,24,36,0,5,42,0,0,19,42,10,99,24,31,8,19,4,32,18,2,23,17,0,1,0,7,9,4,9,1,1,5,0,0,0
"4","03/20/12",2808,1002,689,47,257,184,358,95,151,0,316,71,114,108,55,102,63,55,0,14,59,0,0,42,58,18,163,26,73,11,25,18,45,58,0,24,15,0,0,0,10,45,1,45,0,1,14,0,0,0
"5","03/21/12",2887,1447,901,68,349,196,460,152,199,0,418,97,130,135,70,132,60,72,0,16,75,203,1,39,77,27,209,32,66,10,41,29,43,61,0,26,30,0,10,0,12,44,2,44,0,3,29,43,0,1
"6","03/22/12",3681,1280,994,69,489,152,489,136,204,0,324,82,90,122,101,105,51,57,0,11,70,2827,1,34,83,55,151,32,59,6,39,24,34,56,2,30,27,0,13,0,27,42,5,42,0,3,32,1074,0,1
"7","03/23/12",13353,2224,2152,313,1087,304,750,315,463,0,610,241,219,271,148,251,46,139,0,116,142,5848,1,53,140,108,254,75,90,32,91,18,62,22,3,53,33,0,13,0,62,25,36,25,0,5,53,2278,0,1
"8","03/24/12",5489,3897,3148,1052,1317,536,640,566,689,0,909,383,370,436,174,395,110,184,0,284,189,2753,0,89,241,126,285,99,103,62,135,34,105,41,0,54,22,0,10,0,60,64,65,64,3,5,52,1009,0,0
"9","03/25/12",4330,4722,3708,1354,1563,658,771,732,777,0,1031,436,411,535,197,478,134,219,0,369,236,1553,0,96,315,154,307,129,142,82,142,45,119,47,1,64,26,0,8,0,65,71,62,71,3,5,65,521,0,1
"10","03/26/12",10099,5939,4952,1749,2061,905,922,856,1067,0,1328,619,500,680,268,650,286,343,0,448,332,1144,0,116,421,205,373,182,170,92,165,84,170,144,12,114,40,0,9,0,155,195,70,195,4,15,98,292,0,1
"11","03/27/12",10051,7615,5778,2762,2387,1255,1135,911,1257,6,1664,789,650,753,300,768,484,517,0,454,393,684,0,114,492,232,424,234,242,99,185,204,211,236,34,141,78,0,25,0,168,311,88,309,7,54,102,188,0,1
"12","03/28/12",8557,9513,5996,4975,2458,1886,1517,1321,1279,277,1712,792,663,723,385,721,573,552,0,809,437,326,92,136,469,243,485,254,324,210,217,273,266,234,69,153,84,4,56,0,172,295,107,293,68,90,128,82,0,1
"13","03/29/12",4800,10848,5974,6082,2421,2174,1803,1538,1278,890,1607,781,726,682,429,652,598,557,0,917,433,178,397,190,421,242,486,245,406,258,230,351,262,225,83,149,80,38,108,0,178,288,110,286,98,119,121,52,0,1
"14","03/30/12",3120,11612,6016,6511,2446,2342,1974,1765,1260,1304,1575,780,745,666,451,606,607,571,197,969,426,96,513,207,406,261,470,248,408,264,246,391,271,220,101,136,82,70,141,0,177,283,117,281,210,143,136,37,0,0
"15","03/31/12",2018,12022,6000,6774,2429,2422,2154,1852,1250,1584,1542,773,757,655,450,563,595,551,297,990,423,65,563,216,382,258,472,245,414,269,252,398,271,213,104,128,81,84,155,0,178,269,121,267,261,150,152,33,0,0
"16","04/01/12",1722,12391,5993,6915,2348,2475,2226,1933,1226,1725,1531,790,770,639,461,558,599,544,513,1021,430,63,606,226,384,263,478,256,416,274,256,420,274,204,119,126,77,98,163,0,125,259,121,257,263,168,153,28,0,0
"17","04/02/12",3137,12984,6114,7117,2405,2546,2354,2018,1238,1864,1539,793,801,660,480,555,595,552,798,1051,436,84,664,255,395,286,490,274,457,293,268,432,269,200,129,129,78,104,176,0,117,248,118,246,273,179,152,14,0,0
"18","04/03/12",2,13069,5963,7141,2381,2524,2384,2052,1204,2037,1488,781,808,653,463,502,591,539,884,1065,416,73,697,265,390,288,475,271,468,294,268,444,261,198,134,113,74,115,239,0,99,245,119,243,284,188,141,8,0,0
"19","06/19/12",2063,13427,6146,7241,2487,2557,2453,2108,1226,2128,1508,812,835,689,477,517,599,547,931,1077,422,74,719,274,399,311,482,294,480,300,273,448,270,202,138,113,76,118,263,0,99,245,125,243,289,196,143,8,0,0
"20","06/20/12",1977,13746,6255,7276,2608,2555,2518,2195,1220,2292,1459,811,901,760,490,503,596,530,1137,1093,431,95,746,286,404,350,489,338,499,343,291,423,278,188,146,113,74,124,285,0,102,236,131,234,301,202,150,8,0,0
"21","06/21/12",2418,14244,6427,7313,2676,2552,2586,2288,1271,2472,1420,820,953,804,516,513,511,554,1211,1109,457,115,763,302,408,383,484,348,508,352,305,418,282,138,155,105,71,175,296,0,104,156,133,154,314,212,153,8,0,0
"22","06/22/12",1728,14581,6682,7278,2742,2550,2630,2366,1378,2615,1352,839,988,855,546,553,499,559,1272,1113,476,129,778,318,411,395,466,374,515,387,320,399,283,131,162,101,72,228,300,0,111,146,139,144,328,211,157,8,0,0
"23","06/23/12",1258,14797,6813,7231,2802,2539,2670,2426,1424,2708,1282,849,1004,870,560,567,488,573,1289,1119,481,138,786,337,420,400,465,385,515,411,336,397,283,128,185,98,73,249,307,0,109,139,146,137,332,222,159,8,0,0
